scheme,n,k,Q,max_abs_err,max_rel_err,payout_type,distribution
gauss,4,4,4,1.025252e+01,4.101007e+00,V1,uniform
gauss,4,4,4,3.858676e+00,3.858676e+00,V2,uniform
tanh_sinh,4,4,4,1.484939e+00,5.939757e-01,V1,uniform
tanh_sinh,4,4,4,2.452958e-01,2.452958e-01,V2,uniform
gauss,4,4,8,1.090974e+00,4.363894e-01,V1,uniform
gauss,4,4,8,6.246812e-03,6.246812e-03,V2,uniform
tanh_sinh,4,4,8,2.426503e+00,9.706013e-01,V1,uniform
tanh_sinh,4,4,8,9.994274e-01,9.994274e-01,V2,uniform
gauss,4,4,16,3.298055e-01,1.319222e-01,V1,uniform
gauss,4,4,16,1.608207e-01,1.608207e-01,V2,uniform
tanh_sinh,4,4,16,1.561645e-01,6.246582e-02,V1,uniform
tanh_sinh,4,4,16,6.557466e-01,6.557466e-01,V2,uniform
gauss,4,4,32,1.290163e-03,5.160654e-04,V1,uniform
gauss,4,4,32,4.310289e-03,4.310289e-03,V2,uniform
tanh_sinh,4,4,32,5.723697e-02,2.289479e-02,V1,uniform
tanh_sinh,4,4,32,8.499221e-04,8.499221e-04,V2,uniform
gauss,4,4,64,7.710639e-08,3.084255e-08,V1,uniform
gauss,4,4,64,3.044002e-07,3.044002e-07,V2,uniform
tanh_sinh,4,4,64,7.957093e-05,3.182837e-05,V1,uniform
tanh_sinh,4,4,64,1.464074e-04,1.464074e-04,V2,uniform
gauss,4,4,128,1.698641e-12,6.794565e-13,V1,uniform
gauss,4,4,128,1.273093e-12,1.273093e-12,V2,uniform
tanh_sinh,4,4,128,3.774758e-12,1.509903e-12,V1,uniform
tanh_sinh,4,4,128,1.480438e-11,1.480438e-11,V2,uniform
gauss,4,4,256,2.216449e-12,8.865797e-13,V1,uniform
gauss,4,4,256,1.662892e-12,1.662892e-12,V2,uniform
tanh_sinh,4,4,256,4.707346e-14,1.882938e-14,V1,uniform
tanh_sinh,4,4,256,3.463896e-14,3.463896e-14,V2,uniform
gauss,4,4,512,2.514433e-12,1.005773e-12,V1,uniform
gauss,4,4,512,1.885048e-12,1.885048e-12,V2,uniform
tanh_sinh,4,4,512,2.930989e-14,1.172396e-14,V1,uniform
tanh_sinh,4,4,512,2.220446e-14,2.220446e-14,V2,uniform
gauss,4,4,1024,2.671197e-12,1.068479e-12,V1,uniform
gauss,4,4,1024,2.003064e-12,2.003064e-12,V2,uniform
tanh_sinh,4,4,1024,3.064216e-14,1.225686e-14,V1,uniform
tanh_sinh,4,4,1024,2.520206e-14,2.520206e-14,V2,uniform
gauss,6,6,4,1.470018e+01,4.200051e+00,V1,uniform
gauss,6,6,4,1.286225e+01,3.858676e+00,V2,uniform
tanh_sinh,6,6,4,1.978293e+00,5.652265e-01,V1,uniform
tanh_sinh,6,6,4,8.176526e-01,2.452958e-01,V2,uniform
gauss,6,6,8,1.395206e+00,3.986304e-01,V1,uniform
gauss,6,6,8,2.082271e-02,6.246812e-03,V2,uniform
tanh_sinh,6,6,8,3.425861e+00,9.788173e-01,V1,uniform
tanh_sinh,6,6,8,3.331425e+00,9.994274e-01,V2,uniform
