k,n_max,time_ms,engine,block_size,status
2,1562501,984,linear,0,ok
5,1562503,993,linear,0,ok
10,1562506,986,linear,0,ok
20,1523444,993,linear,0,ok
50,1375015,991,linear,0,ok
100,1031298,1000,linear,0,ok
200,625075,996,linear,0,ok
500,187531,994,hybrid,16,ok
1000,168906,985,hybrid,16,ok
2000,162875,963,hybrid,24,ok
5000,140625,999,hybrid,16,ok
10000,127187,919,hybrid,16,ok
20000,120625,957,hybrid,16,ok
50000,96875,810,hybrid,24,ok
100000,100000,1078,hybrid,16,floor
200000,200000,10000,hybrid,16,floor
500000,500000,10000,hybrid,16,floor
