n,k,time_ms,peak_vram_mb,engine,B,reps,cv,tier1_levels,tier2_levels,tier3_levels,dominant_tier
64,64,0.084708,3.511,hybrid,1,10,0.021430,6,0,0,schoolbook
128,64,0.124969,6.643,hybrid,2,10,0.005917,6,0,0,schoolbook
128,128,0.124018,12.925,hybrid,2,10,0.009870,5,1,0,schoolbook
256,64,0.144778,11.403,hybrid,4,10,0.014443,6,0,0,schoolbook
256,128,0.143198,24.716,hybrid,4,10,0.018373,4,2,0,schoolbook
256,256,0.164237,28.760,hybrid,4,10,0.007373,5,0,1,schoolbook
512,64,0.167287,18.922,hybrid,8,10,0.005101,6,0,0,schoolbook
512,128,0.175117,46.298,hybrid,8,10,0.006812,3,3,0,fused
512,256,0.221987,60.717,hybrid,8,10,0.001553,4,0,2,schoolbook
512,512,0.209897,65.395,hybrid,8,10,0.004593,4,1,1,schoolbook
1024,64,0.210857,29.961,hybrid,16,10,0.009016,6,0,0,schoolbook
1024,128,0.236376,85.462,hybrid,16,10,0.005921,2,4,0,fused
1024,256,0.318795,120.631,hybrid,16,10,0.006734,3,0,3,cufft
1024,512,0.308435,126.652,hybrid,16,10,0.006894,3,2,1,schoolbook
1024,1024,0.323695,138.656,hybrid,16,10,0.006905,3,2,1,schoolbook
2048,64,0.293266,44.040,hybrid,32,10,0.004176,6,0,0,schoolbook
2048,128,0.357745,155.790,hybrid,32,10,0.003602,1,5,0,fused
2048,256,0.496682,232.459,hybrid,32,10,0.007801,2,0,4,cufft
2048,512,0.481813,241.168,hybrid,32,10,0.005218,2,3,1,fused
2048,1024,0.536222,269.172,hybrid,32,10,0.005004,2,3,1,fused
2048,2048,0.585411,308.445,hybrid,32,10,0.006618,2,2,2,fused
4096,64,0.455363,56.165,hybrid,64,10,0.002820,6,0,0,schoolbook
4096,128,0.621171,312.572,hybrid,32,10,0.002489,1,6,0,fused
4096,256,0.786019,440.115,hybrid,64,10,0.002385,1,0,5,cufft
4096,512,0.798998,454.199,hybrid,64,10,0.001517,1,4,1,fused
4096,1024,0.932416,514.203,hybrid,64,10,0.001884,1,4,1,fused
4096,2048,1.039365,599.992,hybrid,64,10,0.002482,1,3,2,fused
4096,4096,1.100544,648.008,hybrid,64,10,0.002633,1,2,3,cufft
8192,64,0.996095,112.572,hybrid,64,15,0.092397,7,0,0,schoolbook
8192,128,1.064614,562.010,hybrid,64,10,0.002036,0,7,0,fused
8192,256,1.422678,887.554,hybrid,64,10,0.001443,1,0,6,cufft
