n,k,time_ms,peak_vram_mb,engine,B,reps,cv,tier1_levels,tier2_levels,tier3_levels,dominant_tier
64,64,7.870975,0.018,hybrid,1,10,0.000162,6,0,0,schoolbook
128,64,10.683940,0.035,hybrid,2,12,0.029269,6,0,0,schoolbook
128,128,11.017024,0.060,hybrid,2,3,0.000207,5,1,0,schoolbook
256,64,12.001828,0.060,hybrid,4,3,0.000771,6,0,0,schoolbook
256,128,12.553150,0.113,hybrid,4,3,0.001522,4,2,0,schoolbook
256,256,14.686676,0.130,hybrid,4,3,0.000179,5,0,1,schoolbook
512,64,13.737280,0.103,hybrid,8,3,0.000778,6,0,0,schoolbook
512,128,13.689362,0.211,hybrid,8,3,0.000662,3,3,0,fused
512,256,18.524034,0.270,hybrid,8,3,0.002367,4,0,2,schoolbook
512,512,17.824376,0.289,hybrid,8,3,0.001108,4,1,1,schoolbook
1024,64,15.703409,0.173,hybrid,16,3,0.000504,6,0,0,schoolbook
1024,128,15.298406,0.391,hybrid,16,3,0.000926,2,4,0,fused
1024,256,21.980389,0.531,hybrid,16,3,0.000222,3,0,3,cufft
1024,512,20.781128,0.555,hybrid,16,3,0.001075,3,2,1,schoolbook
1024,1024,22.040528,0.606,hybrid,16,3,0.000176,3,2,1,schoolbook
2048,64,17.316493,0.283,hybrid,32,3,0.000188,6,0,0,schoolbook
2048,128,17.074587,0.720,hybrid,32,3,0.001024,1,5,0,fused
2048,256,25.689400,1.022,hybrid,32,3,0.000161,2,0,4,cufft
2048,512,23.770650,1.057,hybrid,32,3,0.000089,2,3,1,fused
2048,1024,26.899191,1.170,hybrid,32,3,0.001454,2,3,1,fused
2048,2048,31.429368,1.331,hybrid,32,3,0.000307,2,2,2,fused
4096,64,20.424024,0.408,hybrid,64,3,0.000324,6,0,0,schoolbook
4096,128,19.257682,1.441,hybrid,32,3,0.000439,1,6,0,fused
4096,256,30.172429,1.942,hybrid,64,3,0.000174,1,0,5,cufft
4096,512,27.482502,1.997,hybrid,64,3,0.000395,1,4,1,fused
4096,1024,32.360263,2.235,hybrid,64,3,0.000443,1,4,1,fused
4096,2048,40.986535,2.578,hybrid,64,3,0.000503,1,3,2,fused
4096,4096,42.193307,2.781,hybrid,64,3,0.000371,1,2,3,cufft
8192,64,22.784076,0.815,hybrid,64,3,0.000482,7,0,0,schoolbook
8192,128,21.900630,2.758,hybrid,64,3,0.000188,0,7,0,fused
8192,256,34.249183,3.908,hybrid,64,3,0.000183,1,0,6,cufft
8192,512,30.959525,4.005,hybrid,64,3,0.000351,1,5,1,fused
8192,1024,37.785876,4.493,hybrid,64,3,0.000136,1,5,1,fused
8192,2048,50.368205,5.202,hybrid,64,3,0.000306,1,4,2,fused
8192,4096,52.341744,5.906,hybrid,64,3,0.000167,1,2,4,cufft
8192,8192,55.480854,6.312,hybrid,64,3,0.000047,1,2,4,cufft
16384,64,25.344585,1.629,hybrid,64,3,0.000179,8,0,0,schoolbook
16384,128,26.901891,3.258,hybrid,128,3,0.000080,0,7,0,fused
16384,256,40.049271,7.698,hybrid,128,3,0.000119,0,0,7,cufft
16384,512,35.992536,7.879,hybrid,128,3,0.000379,0,6,1,fused
16384,1024,44.625467,8.867,hybrid,128,3,0.000289,0,6,1,fused
16384,2048,61.376120,10.309,hybrid,128,3,0.000239,0,5,2,fused
16384,4096,63.958829,12.013,hybrid,128,3,0.000031,0,2,5,cufft
16384,8192,72.487642,13.169,hybrid,128,15,0.293948,0,2,5,cufft
16384,16384,124.519092,13.981,hybrid,128,1,0.000000,0,2,5,cufft
32768,64,27.253964,3.258,hybrid,64,15,0.316689,9,0,0,schoolbook
32768,128,31.647044,6.518,hybrid,128,3,0.021835,0,8,0,fused
32768,256,46.321091,15.420,hybrid,128,3,0.005936,0,0,8,cufft
32768,512,45.844049,20.134,hybrid,160,15,0.284266,0,8,0,fused
32768,1024,50.367347,17.757,hybrid,128,15,0.332160,0,7,1,fused
32768,2048,78.096074,20.664,hybrid,128,3,0.000487,0,6,2,fused
32768,4096,79.748997,24.368,hybrid,128,3,0.000281,0,2,6,cufft
32768,8192,140.821673,27.024,hybrid,128,1,0.000000,0,2,6,cufft
32768,16384,244.264842,29.337,hybrid,128,1,0.000000,0,2,6,cufft
32768,32768,100.992018,30.962,hybrid,128,4,0.025247,0,2,6,cufft
65536,64,34.462351,6.516,hybrid,64,3,0.001983,10,0,0,schoolbook
65536,128,35.699460,13.037,hybrid,128,3,0.003335,0,9,0,fused
65536,256,124.677360,17.420,hybrid,256,1,0.000000,0,0,8,cufft
65536,512,101.739367,40.278,hybrid,160,1,0.000000,0,9,0,fused
65536,1024,142.872420,25.997,hybrid,256,1,0.000000,0,8,0,fused
65536,2048,102.062131,31.835,hybrid,256,3,0.000200,0,7,1,fused
65536,4096,203.691620,39.539,hybrid,256,1,0.000000,0,2,6,cufft
65536,8192,114.136759,45.196,hybrid,256,1,0.000000,0,2,6,cufft
65536,16384,338.918703,50.508,hybrid,256,1,0.000000,0,2,6,cufft
65536,32768,123.845124,55.133,hybrid,256,1,0.000000,0,2,6,cufft
65536,65536,125.129524,58.383,hybrid,256,1,0.000000,0,2,6,cufft
131072,64,38.144402,13.032,hybrid,64,3,0.000718,11,0,0,schoolbook
131072,128,37.385154,26.076,hybrid,128,3,0.018655,0,10,0,fused
131072,256,68.522547,34.863,hybrid,256,3,0.000261,0,0,9,cufft
