Q,distribution,error
32,adversarial,3.640396e-01
48,adversarial,3.039666e-02
64,adversarial,2.121491e-02
96,adversarial,7.000530e-04
128,adversarial,3.761543e-05
160,adversarial,3.037277e-06
192,adversarial,1.458277e-07
224,adversarial,5.674480e-09
256,adversarial,1.279402e-10
320,adversarial,5.145884e-13
384,adversarial,1.809664e-14
32,reverse_adv,2.515144e-01
48,reverse_adv,1.148123e-01
64,reverse_adv,1.046347e-02
96,reverse_adv,5.074153e-04
128,reverse_adv,3.873700e-05
160,reverse_adv,4.634581e-06
192,reverse_adv,3.839419e-08
224,reverse_adv,8.904690e-09
256,reverse_adv,4.599557e-10
320,reverse_adv,2.165358e-13
384,reverse_adv,5.218046e-14
32,bimodal,3.264336e-01
48,bimodal,1.813220e-02
64,bimodal,1.062799e-02
96,bimodal,6.356734e-04
128,bimodal,1.209843e-05
160,bimodal,3.571096e-06
192,bimodal,1.099234e-07
224,bimodal,8.021213e-10
256,bimodal,6.853779e-11
320,bimodal,4.137964e-13
384,bimodal,2.101216e-14
32,geometric,3.662482e-01
48,geometric,9.500161e-02
64,geometric,2.200303e-02
96,geometric,1.268082e-03
128,geometric,5.987809e-05
160,geometric,2.834978e-06
192,geometric,1.343977e-07
224,geometric,5.308191e-09
256,geometric,2.304085e-10
320,geometric,4.276252e-13
384,geometric,8.992459e-15
32,uniform,1.723260e-02
48,uniform,4.555010e-04
64,uniform,6.892233e-06
96,uniform,5.141583e-09
128,uniform,1.572552e-12
160,uniform,5.463486e-14
192,uniform,5.457811e-14
224,uniform,5.223859e-14
256,uniform,5.223859e-14
320,uniform,5.223859e-14
384,uniform,5.064108e-14
