n,k,B,time_ms,cost_model_pick
512,200,8,10.561,32
512,200,16,9.799,32
512,200,24,10.762,32
512,200,32,9.469,32
512,200,48,10.586,32
512,200,64,10.623,32
512,200,96,12.630,32
512,200,128,15.131,32
512,200,192,20.190,32
512,240,8,10.867,32
512,240,16,10.364,32
512,240,24,11.489,32
512,240,32,10.161,32
512,240,48,11.455,32
512,240,64,11.128,32
512,240,96,13.506,32
512,240,128,15.503,32
512,240,192,20.081,32
512,260,8,10.688,32
512,260,16,10.034,32
512,260,24,12.234,32
512,260,32,9.717,32
512,260,48,12.037,32
512,260,64,10.861,32
512,260,96,14.315,32
512,260,128,15.792,32
512,260,192,20.594,32
512,260,256,28.744,32
512,275,8,10.694,32
512,275,16,10.047,32
512,275,24,12.181,32
512,275,32,9.719,32
512,275,48,12.051,32
512,275,64,11.016,32
512,275,96,14.316,32
512,275,128,16.189,32
512,275,192,20.880,32
512,275,256,29.015,32
512,290,8,11.283,32
512,290,16,10.668,32
512,290,24,12.167,32
512,290,32,10.320,32
512,290,48,12.617,32
512,290,64,11.437,32
512,290,96,13.862,32
512,290,128,16.323,32
512,290,192,20.430,32
512,290,256,28.569,32
512,310,8,11.303,32
512,310,16,10.592,32
512,310,24,12.159,32
512,310,32,10.387,32
512,310,48,11.971,32
512,310,64,11.399,32
512,310,96,13.935,32
512,310,128,16.293,32
512,310,192,20.560,32
512,310,256,28.956,32
512,350,8,11.495,32
512,350,16,10.876,32
512,350,24,12.135,32
512,350,32,10.559,32
512,350,48,12.039,32
512,350,64,11.549,32
512,350,96,14.134,32
512,350,128,16.655,32
512,350,192,21.149,32
512,350,256,29.071,32
512,400,8,11.722,32
512,400,16,10.998,32
512,400,24,12.353,32
512,400,32,10.756,32
512,400,48,12.198,32
512,400,64,11.802,32
512,400,96,14.080,32
512,400,128,17.022,32
512,400,192,21.195,32
512,400,256,28.896,32
512,501,8,11.071,32
512,501,16,10.347,32
512,501,24,12.601,32
512,501,32,10.068,32
512,501,48,12.306,32
512,501,64,11.140,32
512,501,96,14.346,32
512,501,128,15.811,32
512,501,192,21.836,32
512,501,256,29.061,32
512,512,8,10.992,32
512,512,16,10.352,32
512,512,24,12.519,32
512,512,32,10.075,32
512,512,48,12.307,32
512,512,64,11.238,32
512,512,96,14.225,32
512,512,128,15.703,32
512,512,192,21.331,32
512,512,256,28.624,32
1024,200,8,22.377,32
1024,200,16,20.749,32
1024,200,24,22.866,32
1024,200,32,20.017,32
1024,200,48,22.520,32
1024,200,64,22.507,32
1024,200,96,26.266,32
1024,200,128,31.678,32
1024,200,192,43.450,32
1024,240,8,23.687,32
1024,240,16,22.036,32
1024,240,24,24.334,32
1024,240,32,21.304,32
1024,240,48,23.899,32
1024,240,64,23.072,32
1024,240,96,27.944,32
1024,240,128,32.756,32
1024,240,192,44.002,32
1024,260,8,23.122,32
1024,260,16,21.633,32
1024,260,24,26.105,32
1024,260,32,21.105,32
1024,260,48,25.439,32
1024,260,64,23.057,32
1024,260,96,29.483,32
1024,260,128,33.414,32
1024,260,192,44.209,32
1024,260,256,58.342,32
1024,275,8,23.191,32
1024,275,16,21.643,32
1024,275,24,25.898,32
1024,275,32,21.046,32
1024,275,48,25.423,32
1024,275,64,23.151,32
1024,275,96,29.745,32
1024,275,128,33.064,32
1024,275,192,44.595,32
1024,275,256,59.564,32
1024,290,8,23.845,32
1024,290,16,22.467,32
1024,290,24,25.373,32
1024,290,32,21.824,32
1024,290,48,24.762,32
1024,290,64,23.802,32
1024,290,96,28.648,32
1024,290,128,34.055,32
1024,290,192,43.316,32
1024,290,256,59.148,32
1024,310,8,24.213,32
1024,310,16,22.753,32
1024,310,24,25.665,32
1024,310,32,22.069,32
1024,310,48,25.209,32
1024,310,64,23.861,32
1024,310,96,28.767,32
1024,310,128,34.377,32
1024,310,192,44.825,32
1024,310,256,59.163,32
1024,350,8,25.203,32
1024,350,16,23.711,32
1024,350,24,26.508,32
1024,350,32,23.095,32
1024,350,48,25.916,32
1024,350,64,24.952,32
1024,350,96,29.316,32
1024,350,128,35.077,32
1024,350,192,46.244,32
1024,350,256,59.740,32
1024,400,8,25.766,32
1024,400,16,24.345,32
1024,400,24,26.042,32
1024,400,32,23.666,32
1024,400,48,25.631,32
1024,400,64,25.596,32
1024,400,96,29.541,32
1024,400,128,35.453,32
1024,400,192,46.417,32
1024,400,256,60.543,32
1024,541,8,25.948,32
1024,541,16,24.591,32
1024,541,24,27.943,32
1024,541,32,23.735,32
1024,541,48,27.572,32
1024,541,64,25.481,32
1024,541,96,31.308,32
1024,541,128,35.237,32
1024,541,192,47.270,32
1024,541,256,61.604,32
1024,586,8,26.138,32
1024,586,16,24.803,32
1024,586,24,28.327,32
1024,586,32,24.017,32
1024,586,48,28.087,32
1024,586,64,25.958,32
1024,586,96,32.077,32
1024,586,128,35.653,32
1024,586,192,48.065,32
1024,586,256,61.371,32
1024,635,8,26.182,32
1024,635,16,24.783,32
1024,635,24,28.491,32
1024,635,32,24.049,32
1024,635,48,28.073,32
1024,635,64,25.856,32
1024,635,96,31.922,32
1024,635,128,35.535,32
1024,635,192,47.709,32
1024,635,256,62.567,32
1024,688,8,26.816,32
1024,688,16,25.446,32
1024,688,24,28.194,32
1024,688,32,24.656,32
1024,688,48,27.735,32
1024,688,64,26.499,32
1024,688,96,31.550,32
1024,688,128,36.322,32
1024,688,192,47.471,32
1024,688,256,61.925,32
1024,745,8,26.796,32
1024,745,16,25.408,32
1024,745,24,28.156,32
1024,745,32,24.693,32
1024,745,48,27.677,32
1024,745,64,26.629,32
1024,745,96,31.354,32
1024,745,128,36.228,32
1024,745,192,46.784,32
1024,745,256,63.148,32
1024,806,8,28.163,32
1024,806,16,26.770,32
1024,806,24,29.806,32
1024,806,32,26.093,32
1024,806,48,29.597,32
1024,806,64,27.704,32
1024,806,96,33.547,32
1024,806,128,37.449,32
1024,806,192,49.490,32
1024,806,256,62.671,32
1024,873,8,27.688,32
1024,873,16,26.314,32
1024,873,24,29.713,32
1024,873,32,25.527,32
1024,873,48,29.408,32
1024,873,64,27.390,32
1024,873,96,33.069,32
1024,873,128,37.320,32
1024,873,192,49.606,32
1024,873,256,63.951,32
1024,946,8,27.741,32
1024,946,16,26.455,32
1024,946,24,29.896,32
1024,946,32,25.690,32
1024,946,48,29.498,32
1024,946,64,27.323,32
1024,946,96,33.225,32
1024,946,128,37.179,32
1024,946,192,48.582,32
1024,946,256,62.727,32
1024,1024,8,25.277,32
1024,1024,16,23.938,32
1024,1024,24,28.617,32
1024,1024,32,23.323,32
1024,1024,48,28.326,32
1024,1024,64,25.187,32
1024,1024,96,32.400,32
1024,1024,128,35.333,32
1024,1024,192,48.258,32
1024,1024,256,61.274,32
2048,200,8,48.279,32
2048,200,16,44.927,32
2048,200,24,44.794,32
2048,200,32,42.841,32
2048,200,48,44.096,32
2048,200,64,45.573,32
2048,200,96,52.250,32
2048,200,128,64.367,32
2048,200,192,85.798,32
2048,240,8,51.211,32
2048,240,16,47.816,32
2048,240,24,51.245,32
2048,240,32,46.054,32
2048,240,48,50.751,32
2048,240,64,47.340,32
2048,240,96,58.415,32
2048,240,128,66.926,32
2048,240,192,88.473,32
2048,260,8,49.638,32
2048,260,16,46.370,32
2048,260,24,54.377,32
2048,260,32,44.841,32
2048,260,48,53.290,32
2048,260,64,47.517,32
2048,260,96,61.618,32
2048,260,128,68.894,32
2048,260,192,93.027,32
2048,260,256,120.708,32
2048,275,8,49.586,32
2048,275,16,46.433,32
2048,275,24,54.499,32
2048,275,32,44.848,32
2048,275,48,53.580,32
2048,275,64,47.366,32
2048,275,96,61.444,32
2048,275,128,69.020,32
2048,275,192,92.521,32
2048,275,256,120.827,32
2048,290,8,51.504,32
2048,290,16,48.220,32
2048,290,24,53.773,32
2048,290,32,46.638,32
2048,290,48,52.652,32
2048,290,64,49.109,32
2048,290,96,59.971,32
2048,290,128,70.185,32
2048,290,192,91.275,32
2048,290,256,119.807,32
2048,310,8,51.425,32
2048,310,16,48.385,32
2048,310,24,53.805,32
2048,310,32,46.591,32
2048,310,48,52.830,32
2048,310,64,48.938,32
2048,310,96,60.152,32
2048,310,128,70.163,32
2048,310,192,89.589,32
2048,310,256,119.845,32
2048,350,8,53.737,32
2048,350,16,50.403,32
2048,350,24,51.958,32
2048,350,32,48.883,32
2048,350,48,51.180,32
2048,350,64,51.439,32
2048,350,96,59.129,32
2048,350,128,72.527,32
2048,350,192,92.202,32
2048,350,256,120.591,32
2048,400,8,54.814,32
2048,400,16,51.590,32
2048,400,24,54.035,32
2048,400,32,50.076,32
2048,400,48,53.260,32
2048,400,64,52.549,32
2048,400,96,61.152,32
2048,400,128,73.974,32
2048,400,192,94.553,32
2048,400,256,122.600,32
2048,585,8,55.756,32
2048,585,16,53.016,32
2048,585,24,58.721,32
2048,585,32,51.150,32
2048,585,48,57.965,32
2048,585,64,54.625,32
2048,585,96,65.860,32
2048,585,128,74.442,32
2048,585,192,99.643,32
2048,585,256,126.068,32
2048,684,8,57.157,32
2048,684,16,54.185,32
2048,684,24,58.230,32
2048,684,32,52.698,32
2048,684,48,57.501,32
2048,684,64,55.957,32
2048,684,96,65.661,32
2048,684,128,75.606,32
2048,684,192,98.197,32
2048,684,256,128.116,32
2048,800,8,60.698,32
2048,800,16,57.612,32
2048,800,24,57.524,32
2048,800,32,56.247,32
2048,800,48,57.085,32
2048,800,64,59.628,32
2048,800,96,65.392,32
2048,800,128,78.296,32
2048,800,192,97.783,32
2048,800,256,128.943,32
2048,936,8,59.968,32
2048,936,16,57.012,32
2048,936,24,63.187,32
2048,936,32,55.485,32
2048,936,48,62.537,32
2048,936,64,58.587,32
2048,936,96,70.697,32
2048,936,128,77.901,32
2048,936,192,103.514,32
2048,936,256,130.287,32
2048,1094,8,60.812,32
2048,1094,16,57.996,32
2048,1094,24,63.579,32
2048,1094,32,56.773,32
2048,1094,48,63.046,32
2048,1094,64,60.728,32
2048,1094,96,71.296,32
2048,1094,128,80.252,32
2048,1094,192,103.567,32
2048,1094,256,131.043,32
2048,1280,8,59.376,32
2048,1280,16,56.185,32
2048,1280,24,62.542,32
2048,1280,32,55.077,32
2048,1280,48,62.088,32
2048,1280,64,58.711,32
2048,1280,96,70.710,32
2048,1280,128,79.464,32
2048,1280,192,102.957,32
2048,1280,256,130.246,32
2048,1497,8,59.228,32
2048,1497,16,56.591,32
2048,1497,24,63.489,32
2048,1497,32,55.315,32
2048,1497,48,62.654,32
2048,1497,64,59.000,32
2048,1497,96,71.132,32
2048,1497,128,79.264,32
2048,1497,192,105.582,32
2048,1497,256,131.071,32
2048,1751,8,64.652,32
2048,1751,16,61.840,32
2048,1751,24,67.172,32
2048,1751,32,60.987,32
2048,1751,48,65.804,32
2048,1751,64,64.577,32
2048,1751,96,74.235,32
2048,1751,128,84.743,32
2048,1751,192,107.836,32
2048,1751,256,135.410,32
2048,2048,8,56.963,32
2048,2048,16,54.334,32
2048,2048,24,65.706,32
2048,2048,32,53.107,32
2048,2048,48,64.393,32
2048,2048,64,57.204,32
2048,2048,96,73.177,32
2048,2048,128,77.473,32
2048,2048,192,107.132,32
2048,2048,256,129.425,32
4096,200,8,96.749,32
4096,200,16,89.924,32
4096,200,24,87.859,32
4096,200,32,86.358,32
4096,200,48,86.790,32
4096,200,64,93.465,32
4096,200,96,102.976,32
4096,200,128,130.784,32
4096,200,192,172.498,32
4096,240,8,102.932,32
4096,240,16,96.013,32
4096,240,24,105.509,32
4096,240,32,92.532,32
4096,240,48,103.335,32
4096,240,64,96.929,32
4096,240,96,117.470,32
4096,240,128,136.036,32
4096,240,192,182.316,32
4096,260,8,101.108,32
4096,260,16,94.746,32
4096,260,24,112.176,32
4096,260,32,92.131,32
4096,260,48,110.477,32
4096,260,64,98.067,32
4096,260,96,124.563,32
4096,260,128,141.056,32
4096,260,192,190.533,32
4096,260,256,241.881,32
4096,275,8,101.053,32
4096,275,16,94.605,32
4096,275,24,112.219,32
4096,275,32,92.225,32
4096,275,48,110.848,32
4096,275,64,98.138,32
4096,275,96,124.965,32
4096,275,128,141.119,32
4096,275,192,190.819,32
4096,275,256,241.942,32
4096,290,8,103.995,32
4096,290,16,97.795,32
4096,290,24,110.197,32
4096,290,32,95.086,32
4096,290,48,108.433,32
4096,290,64,101.329,32
4096,290,96,122.188,32
4096,290,128,144.079,32
4096,290,192,187.039,32
4096,290,256,239.275,32
4096,310,8,103.948,32
4096,310,16,97.519,32
4096,310,24,110.218,32
4096,310,32,94.768,32
4096,310,48,108.061,32
4096,310,64,101.275,32
4096,310,96,122.291,32
4096,310,128,144.287,32
4096,310,192,187.249,32
4096,310,256,240.687,32
4096,350,8,109.920,32
4096,350,16,103.396,32
4096,350,24,102.608,32
4096,350,32,100.671,32
4096,350,48,101.487,32
4096,350,64,106.567,32
4096,350,96,118.300,32
4096,350,128,150.071,32
4096,350,192,187.301,32
4096,350,256,246.474,32
4096,400,8,112.457,32
4096,400,16,105.973,32
4096,400,24,110.997,32
4096,400,32,103.355,32
4096,400,48,109.139,32
4096,400,64,109.079,32
4096,400,96,124.493,32
4096,400,128,152.862,32
4096,400,192,195.781,32
4096,400,256,251.005,32
4096,632,8,114.404,32
4096,632,16,108.437,32
4096,632,24,121.935,32
4096,632,32,105.410,32
4096,632,48,120.111,32
4096,632,64,112.167,32
4096,632,96,135.074,32
4096,632,128,151.747,32
4096,632,192,207.244,32
4096,632,256,258.603,32
4096,798,8,125.086,32
4096,798,16,119.025,32
4096,798,24,118.606,32
4096,798,32,116.439,32
4096,798,48,118.193,32
4096,798,64,122.753,32
4096,798,96,133.996,32
4096,798,128,163.164,32
4096,798,192,200.166,32
4096,798,256,264.259,32
4096,1008,8,114.384,32
4096,1008,16,108.327,32
4096,1008,24,124.870,32
4096,1008,32,105.883,32
4096,1008,48,123.585,32
4096,1008,64,114.732,32
4096,1008,96,141.644,32
4096,1008,128,154.350,32
4096,1008,192,207.398,32
4096,1008,256,258.009,32
