n,k,auto_B,auto_ns_qp,best_B,best_ns_qp,gap_pct
64,10,8,2233.035156,32,1548.832031,44.1754
64,50,32,2597.390625,64,2520.796875,3.0385
64,64,16,2834.351562,32,2511.406250,12.8591
64,16,16,2086.902344,64,1651.246094,26.3835
64,32,32,2347.625000,64,2027.066406,15.8139
128,10,8,4477.535156,32,3232.636719,38.5103
128,50,32,6283.019531,64,6216.332031,1.0728
128,100,24,7701.835938,24,7694.871094,0.0905
128,32,32,5369.593750,64,4587.667969,17.0441
128,64,16,6537.753906,32,5887.550781,11.0437
128,128,32,6498.226562,32,6477.562500,0.3190
256,10,8,9189.851562,32,6490.714844,41.5846
256,50,32,13678.269531,64,13032.609375,4.9542
256,100,24,16258.007812,24,16212.882812,0.2783
256,64,16,13946.503906,32,12630.296875,10.4210
256,128,32,14536.980469,32,14536.039062,0.0065
256,256,32,16385.355469,32,16473.410156,0.0000
512,10,8,18163.203125,32,13124.031250,38.3965
512,50,48,28800.167969,64,27337.949219,5.3487
512,100,24,33273.597656,24,33506.183594,0.0000
512,128,24,34171.640625,32,30656.410156,11.4665
512,256,32,36041.500000,32,35991.914062,0.1378
512,512,32,39993.605469,32,40186.582031,0.0000
1024,10,8,36537.859375,32,26660.589844,37.0482
1024,50,24,63717.933594,64,54851.300781,16.1649
1024,100,24,67471.421875,24,67817.613281,0.0000
1024,256,24,75200.500000,24,75210.246094,0.0000
1024,512,32,90217.281250,32,89930.656250,0.3187
1024,1024,24,108770.238281,32,96558.378906,12.6471
2048,10,8,73497.402344,32,53447.863281,37.5123
2048,50,32,115217.039062,64,110693.046875,4.0870
2048,100,24,136629.121094,24,136609.203125,0.0146
2048,512,32,188562.671875,32,189199.214844,0.0000
2048,1024,32,215629.097656,32,215334.761719,0.1367
2048,2048,24,265331.531250,32,230240.203125,15.2412
4096,10,8,146930.460938,32,106513.960938,37.9448
4096,50,32,232046.816406,64,225563.230469,2.8744
4096,100,24,276592.871094,24,275778.300781,0.2954
4096,1024,32,453361.339844,32,455625.843750,0.0000
4096,2048,24,558064.535156,32,509858.101562,9.4549
4096,4096,24,634685.820312,32,556107.058594,14.1302
8192,10,8,296879.375000,32,214210.402344,38.5924
8192,50,32,468418.554688,64,450715.785156,3.9277
8192,100,24,546342.742188,24,548316.347656,0.0000
8192,2048,24,1136797.605469,32,1072909.550781,5.9547
8192,4096,32,1228237.460938,32,1231773.906250,0.0000
8192,8192,24,1613961.117188,32,1324838.050781,21.8233
16384,10,8,598372.742188,32,432707.140625,38.2858
16384,50,32,942066.445312,64,909082.292969,3.6283
16384,100,24,1099681.011719,24,1100733.605469,0.0000
16384,4096,24,2711022.417969,32,2585799.789062,4.8427
16384,8192,24,3397882.941406,32,2900636.628906,17.1427
16384,16384,24,3730142.742188,32,3155682.730469,18.2040
32768,10,8,1167852.734375,32,871562.468750,33.9953
32768,50,32,1894426.484375,64,1824145.312500,3.8528
32768,100,24,2213924.046875,24,2221775.437500,0.0000
32768,8192,32,6086330.792969,32,6069430.191406,0.2785
32768,16384,32,6980773.519531,32,6962219.781250,0.2665
32768,32768,24,8677172.601562,32,7571428.273438,14.6042
65536,10,8,2417807.617188,32,1674520.894531,44.3880
65536,50,32,3800969.398438,64,3639645.437500,4.4324
65536,100,24,4435215.734375,24,4417937.679688,0.3911
65536,16384,32,15817065.144531,64,15694821.804688,0.7789
65536,32768,32,18092768.917969,64,17894583.683594,1.1075
65536,65536,32,19517296.429688,64,19370390.890625,0.7584
