n,k,auto_B,auto_ns_qp,best_B,best_ns_qp,gap_pct
64,10,32,1525.035156,64,1552.429688,0.0000
64,50,32,2607.957031,32,2633.867188,0.0000
64,64,16,2864.214844,32,2519.234375,13.6939
64,16,64,1653.359375,64,1701.851562,0.0000
64,32,64,2058.882812,64,2024.210938,1.7129
128,10,32,3193.343750,32,3221.835938,0.0000
128,50,32,6296.015625,64,6144.285156,2.4695
128,100,24,7670.730469,48,7550.468750,1.5928
128,32,64,4557.847656,64,4605.828125,0.0000
128,64,16,6564.210938,32,5933.738281,10.6252
128,128,32,6422.460938,32,6386.378906,0.5650
256,10,32,6366.652344,32,6421.015625,0.0000
256,50,32,13758.191406,64,12911.847656,6.5548
256,100,24,16147.105469,24,16041.242188,0.6599
256,64,16,13853.761719,32,12605.531250,9.9022
256,128,32,14477.191406,32,14451.636719,0.1768
256,256,32,16337.777344,32,16706.433594,0.0000
512,10,16,14559.769531,48,13305.824219,9.4240
512,50,48,28693.738281,64,27355.808594,4.8908
512,100,24,33556.570312,24,33720.625000,0.0000
512,128,24,34016.609375,32,30660.066406,10.9476
512,256,32,35959.730469,32,35898.679688,0.1701
512,512,32,39726.257812,32,39969.601562,0.0000
1024,10,32,26329.988281,32,26303.179688,0.1019
1024,50,24,64055.007812,64,54812.320312,16.8624
1024,100,24,67258.214844,24,67216.652344,0.0618
1024,256,24,75238.121094,32,74912.316406,0.4349
1024,512,32,89635.707031,32,89687.171875,0.0000
1024,1024,24,109011.343750,32,95574.339844,14.0592
2048,10,16,58734.019531,32,53001.984375,10.8148
2048,50,32,115397.410156,64,110644.199219,4.2959
2048,100,24,136917.949219,24,136960.101562,0.0000
2048,512,32,189936.527344,32,189909.800781,0.0141
2048,1024,32,213855.921875,32,215364.523438,0.0000
2048,2048,24,266547.210938,32,232398.949219,14.6938
4096,10,32,105549.527344,32,105573.515625,0.0000
4096,50,32,231873.085938,64,224777.921875,3.1565
4096,100,24,276414.976562,24,275019.359375,0.5075
4096,1024,32,457655.027344,32,454911.859375,0.6030
4096,2048,24,557163.199219,32,506812.023438,9.9349
4096,4096,24,632980.605469,32,555771.734375,13.8922
8192,10,16,237774.925781,32,212693.441406,11.7923
8192,50,32,471454.671875,64,453315.835938,4.0014
8192,100,24,552289.335938,24,547391.281250,0.8948
8192,2048,24,1129187.949219,32,1066205.921875,5.9071
8192,4096,32,1224209.929688,32,1224465.839844,0.0000
8192,8192,24,1609570.945312,32,1321562.953125,21.7930
16384,10,32,431331.933594,32,431568.707031,0.0000
16384,50,32,941699.398438,64,900158.070312,4.6149
16384,100,24,1104672.339844,24,1101364.285156,0.3004
16384,4096,24,2697478.597656,32,2582084.671875,4.4690
16384,8192,24,3406385.480469,32,2895207.679688,17.6560
16384,16384,24,3720699.429688,32,3148647.085938,18.1682
32768,10,16,968733.773438,32,869280.898438,11.4408
32768,50,32,1904059.617188,64,1819756.757812,4.6326
32768,100,24,2211219.257812,24,2211433.171875,0.0000
32768,8192,32,6096174.085938,32,6064450.960938,0.5231
32768,16384,32,6967867.976562,32,6973108.230469,0.0000
32768,32768,24,8602651.992188,32,7591157.371094,13.3246
65536,10,32,1736147.062500,32,1736046.445312,0.0058
65536,50,32,3804054.332031,64,3642715.375000,4.4291
65536,100,24,4432851.929688,24,4411011.933594,0.4951
65536,16384,32,15799287.093750,64,15624427.554688,1.1191
65536,32768,32,18146427.289062,64,18084289.003906,0.3436
65536,65536,32,19512132.535156,64,19403382.218750,0.5605
