k,n_max,time_ms,engine,block_size,status
2,5273438,969,linear,0,ok
5,4062502,943,linear,0,ok
10,2968753,969,linear,0,ok
20,1796880,953,linear,0,ok
50,843757,960,linear,0,ok
100,468756,977,linear,0,ok
200,359431,990,hybrid,24,ok
500,250187,893,hybrid,48,ok
1000,219202,949,hybrid,48,ok
2000,193812,987,hybrid,48,ok
5000,162500,981,hybrid,32,ok
10000,117812,881,hybrid,32,ok
13000,119640,960,hybrid,32,ok
15000,116952,967,hybrid,32,ok
17000,121125,980,hybrid,32,ok
19000,114593,954,hybrid,32,ok
22000,113437,998,hybrid,32,ok
26000,102781,970,hybrid,32,ok
30000,100312,996,hybrid,32,ok
50000,93750,999,hybrid,32,ok
70000,85312,943,hybrid,32,ok
90000,90000,1030,hybrid,32,ok
110000,110000,1339,hybrid,32,floor
