k,n_max,time_ms,engine,block_size,status
2,5468751,986,linear,0,ok
5,3906252,980,linear,0,ok
10,2890628,991,linear,0,ok
20,1718756,933,linear,0,ok
50,750012,967,linear,0,ok
100,421890,954,linear,0,ok
200,234387,996,linear,0,ok
500,231460,996,hybrid,48,ok
1000,162687,988,hybrid,48,ok
2000,131937,914,hybrid,48,ok
5000,106718,984,hybrid,64,ok
10000,94375,955,hybrid,64,ok
13000,98312,957,hybrid,48,ok
15000,97031,982,hybrid,48,ok
17000,95093,987,hybrid,48,ok
19000,89656,962,hybrid,48,ok
22000,89375,986,hybrid,48,ok
26000,86937,990,hybrid,48,ok
30000,83437,952,hybrid,48,ok
50000,50000,1081,hybrid,64,floor
