k,n_max,time_ms,engine,block_size,status
2,1025391,968,linear,0,ok
5,742191,991,linear,0,ok
10,507820,965,linear,0,ok
20,312517,986,linear,0,ok
50,144573,995,linear,0,ok
100,76256,974,linear,0,ok
200,54843,982,hybrid,24,ok
500,39366,973,hybrid,32,ok
1000,33156,951,hybrid,48,ok
2000,28250,984,hybrid,32,ok
5000,23593,962,hybrid,32,ok
10000,20312,953,hybrid,32,ok
13000,19500,985,hybrid,32,ok
15000,18750,996,hybrid,32,ok
17000,19125,990,hybrid,32,ok
19000,19000,1013,hybrid,32,ok
22000,22000,1176,hybrid,32,floor
