k,n_max,time_ms,engine,block_size,status
2,1611329,992,linear,0,ok
5,1562503,957,linear,0,ok
10,1562506,976,linear,0,ok
20,1562507,996,linear,0,ok
50,1375015,979,linear,0,ok
100,1062546,999,linear,0,ok
200,625075,994,linear,0,ok
500,168827,963,hybrid,32,ok
1000,137812,980,hybrid,24,ok
2000,125750,995,hybrid,24,ok
5000,101875,961,hybrid,24,ok
10000,94375,949,hybrid,24,ok
13000,92625,973,hybrid,24,ok
15000,90468,959,hybrid,24,ok
17000,91375,993,hybrid,24,ok
19000,85500,938,hybrid,24,ok
22000,83875,962,hybrid,24,ok
26000,82062,983,hybrid,24,ok
30000,77812,963,hybrid,24,ok
50000,71875,969,hybrid,24,ok
70000,70000,1554,hybrid,24,floor
