k,n_max,time_ms,engine,block_size,status
2,1513672,981,linear,0,ok
5,1523440,983,linear,0,ok
10,1523443,999,linear,0,ok
20,1445320,951,linear,0,ok
50,1312516,983,linear,0,ok
100,1000050,981,linear,0,ok
200,609453,973,linear,0,ok
500,162593,978,hybrid,32,ok
1000,131593,958,hybrid,32,ok
2000,119562,982,hybrid,32,ok
5000,106718,993,hybrid,32,ok
10000,99062,959,hybrid,64,ok
13000,95468,989,hybrid,64,ok
15000,83906,963,hybrid,32,ok
17000,83937,966,hybrid,32,ok
19000,89656,972,hybrid,64,ok
22000,83875,970,hybrid,64,ok
26000,84500,995,hybrid,64,ok
30000,75000,996,hybrid,32,ok
50000,62500,942,hybrid,24,ok
70000,70000,1683,hybrid,32,floor
