k,n_max,time_ms,engine,block_size,status
2,1611329,997,linear,0,ok
5,1562503,971,linear,0,ok
10,1562506,981,linear,0,ok
20,1562507,982,linear,0,ok
50,1312516,979,linear,0,ok
100,1062546,987,linear,0,ok
200,578209,899,linear,0,ok
500,206492,993,hybrid,32,ok
1000,181343,982,hybrid,32,ok
2000,162875,993,hybrid,32,ok
5000,145468,997,hybrid,32,ok
10000,127187,943,hybrid,32,ok
13000,122687,971,hybrid,32,ok
15000,120468,995,hybrid,32,ok
17000,117406,976,hybrid,32,ok
19000,118750,961,hybrid,32,ok
22000,113437,976,hybrid,32,ok
26000,114156,995,hybrid,32,ok
30000,105937,974,hybrid,32,ok
50000,90625,993,hybrid,32,ok
70000,74375,983,hybrid,24,ok
90000,90000,10000,hybrid,24,floor
110000,110000,10000,hybrid,32,floor
130000,130000,10000,hybrid,32,floor
