k,n_max,time_ms,engine,block_size,status
2,1513672,975,linear,0,ok
5,1523440,977,linear,0,ok
10,1523443,988,linear,0,ok
20,1445320,981,linear,0,ok
50,1250018,982,linear,0,ok
100,906259,951,linear,0,ok
200,195356,992,hybrid,24,ok
500,156359,973,hybrid,32,ok
1000,137812,997,hybrid,32,ok
2000,122656,985,hybrid,32,ok
5000,101875,957,hybrid,32,ok
10000,94375,1000,hybrid,32,ok
13000,86937,978,hybrid,32,ok
15000,83906,959,hybrid,32,ok
17000,87656,989,hybrid,32,ok
19000,83421,989,hybrid,32,ok
22000,81812,980,hybrid,32,ok
26000,77187,988,hybrid,32,ok
30000,72187,956,hybrid,32,ok
50000,62500,976,hybrid,16,ok
70000,70000,1718,hybrid,32,floor
