k,n_max,time_ms,engine,block_size,status
2,415040,974,linear,0,ok
5,361331,970,linear,0,ok
10,341805,979,linear,0,ok
20,283219,985,linear,0,ok
50,187540,978,linear,0,ok
100,121169,991,linear,0,ok
200,66553,985,linear,0,ok
500,51804,974,hybrid,24,ok
1000,46937,980,hybrid,32,ok
2000,41000,998,hybrid,24,ok
5000,34531,970,hybrid,32,ok
10000,32500,993,hybrid,32,ok
13000,30062,992,hybrid,24,ok
15000,29062,987,hybrid,24,ok
17000,29750,999,hybrid,32,ok
19000,28500,952,hybrid,32,ok
22000,27500,980,hybrid,32,ok
26000,26812,982,hybrid,32,ok
30000,30000,1108,hybrid,32,floor
