n,k,time_ms,peak_vram_mb,engine,B,reps,cv,tier1_levels,tier2_levels,tier3_levels,dominant_tier
64,64,0.052298,0.639,hybrid,64,5,0.035558,0,0,0,fused
128,64,0.064008,3.544,hybrid,64,3,0.020373,0,1,0,fused
128,128,0.064377,6.295,hybrid,64,3,0.004778,0,1,0,fused
256,64,0.078155,7.330,hybrid,64,3,0.017117,0,2,0,fused
256,128,0.078832,13.083,hybrid,64,3,0.012714,0,2,0,fused
256,256,0.080564,14.583,hybrid,64,5,0.121513,0,2,0,fused
512,64,0.095601,14.902,hybrid,64,3,0.010606,0,3,0,fused
512,128,0.101471,26.657,hybrid,64,3,0.015342,0,3,0,fused
512,256,0.108056,30.158,hybrid,64,3,0.007997,0,3,0,fused
512,512,0.113199,33.160,hybrid,64,3,0.007304,0,3,0,fused
1024,64,0.136153,30.047,hybrid,64,3,0.010383,0,4,0,fused
1024,128,0.148755,53.805,hybrid,64,3,0.005201,0,4,0,fused
1024,256,0.165972,61.306,hybrid,64,3,0.004602,0,4,0,fused
1024,512,0.192995,68.308,hybrid,64,3,0.012642,0,4,0,fused
1024,1024,0.199180,74.312,hybrid,64,3,0.006870,0,4,0,fused
2048,64,0.205807,60.336,hybrid,64,3,0.001640,0,5,0,fused
2048,128,0.236017,108.102,hybrid,64,3,0.001831,0,5,0,fused
2048,256,0.270714,123.603,hybrid,64,3,0.001498,0,5,0,fused
2048,512,0.330342,138.605,hybrid,64,3,0.004356,0,5,0,fused
2048,1024,0.383933,152.609,hybrid,64,3,0.002409,0,5,0,fused
2048,2048,0.423010,180.625,hybrid,64,3,0.005969,0,4,1,fused
4096,64,0.347593,120.915,hybrid,64,3,0.002734,0,6,0,fused
4096,128,0.413681,152.696,hybrid,64,3,0.004389,0,6,0,fused
4096,256,0.485509,247.822,hybrid,64,3,0.003135,0,6,0,fused
4096,512,0.608585,278.824,hybrid,64,3,0.001250,0,6,0,fused
4096,1024,0.740500,308.828,hybrid,64,3,0.002086,0,6,0,fused
4096,2048,0.819840,400.867,hybrid,64,3,0.003142,0,4,2,fused
4096,4096,0.845488,424.883,hybrid,64,3,0.003160,0,4,2,fused
8192,64,0.613006,242.072,hybrid,64,3,0.001454,0,7,0,fused
8192,128,0.735516,305.885,hybrid,64,3,0.003296,0,7,0,fused
8192,256,0.877495,496.636,hybrid,64,3,0.005320,0,7,0,fused
8192,512,1.127733,559.638,hybrid,64,3,0.001489,0,7,0,fused
8192,1024,1.406552,621.642,hybrid,64,3,0.001100,0,7,0,fused
8192,2048,1.556988,841.728,hybrid,64,3,0.004186,0,4,3,fused
8192,4096,1.657857,914.571,hybrid,64,3,0.000489,0,4,3,fused
8192,8192,1.785467,977.774,hybrid,64,3,0.000928,0,4,3,fused
16384,64,1.156452,888.140,hybrid,48,3,0.001936,0,9,0,fused
16384,128,1.402675,612.262,hybrid,64,3,0.001701,0,8,0,fused
16384,256,1.690693,994.263,hybrid,64,3,0.001048,0,8,0,fused
16384,512,2.204944,1121.265,hybrid,64,3,0.000212,0,8,0,fused
16384,1024,2.787618,1247.269,hybrid,64,3,0.000524,0,8,0,fused
16384,2048,3.115533,1723.448,hybrid,64,3,0.001415,0,4,4,fused
16384,4096,3.438238,1909.120,hybrid,64,3,0.000885,0,4,4,fused
16384,16384,4.111707,2211.558,hybrid,64,3,0.000485,0,4,4,fused
32768,64,2.191751,1776.523,hybrid,48,3,0.000448,0,10,0,fused
32768,128,2.598776,2160.523,hybrid,48,3,0.002362,0,10,0,fused
32768,256,3.040480,2544.024,hybrid,48,3,0.000437,0,10,0,fused
32768,512,4.351097,2244.519,hybrid,64,3,0.000304,0,9,0,fused
32768,1024,5.544657,2498.522,hybrid,64,3,0.000286,0,9,0,fused
32768,2048,6.177713,3486.890,hybrid,64,3,0.000212,0,4,5,cufft
32768,4096,6.921442,3898.218,hybrid,64,3,0.000425,0,4,5,cufft
32768,32768,9.285080,4935.124,hybrid,64,3,0.000646,0,4,5,cufft
65536,64,4.265952,3553.289,hybrid,48,3,0.000281,0,11,0,fused
65536,128,5.060839,4321.539,hybrid,48,3,0.000625,0,11,0,fused
65536,256,5.935762,5089.040,hybrid,48,3,0.000358,0,11,0,fused
65536,512,7.475304,5856.042,hybrid,48,3,0.000165,0,11,0,fused
65536,1024,9.469164,6622.046,hybrid,48,3,0.000652,0,11,0,fused
65536,2048,14.153570,12454.538,hybrid,48,3,0.000217,0,4,7,cufft
65536,4096,13.751157,7876.413,hybrid,64,3,0.000842,0,4,6,cufft
65536,65536,20.314030,10894.257,hybrid,64,3,0.000270,0,4,6,cufft
131072,64,8.374096,7106.820,hybrid,48,3,0.000171,0,12,0,fused
131072,128,9.953422,8643.570,hybrid,48,3,0.000447,0,12,0,fused
131072,256,11.685150,10179.071,hybrid,48,3,0.000126,0,12,0,fused
131072,512,14.677171,11714.073,hybrid,48,3,0.000155,0,12,0,fused
131072,1024,18.451681,13248.077,hybrid,48,3,0.000075,0,12,0,fused
131072,2048,22.497463,17821.569,hybrid,48,3,0.000187,0,5,7,cufft
131072,4096,27.266069,15832.804,hybrid,64,3,0.000164,0,4,7,cufft
131072,131072,46.051844,22812.507,hybrid,64,3,0.000093,0,4,7,cufft
262144,64,16.616152,14213.882,hybrid,48,3,0.000314,0,13,0,fused
262144,128,19.747632,17287.633,hybrid,48,3,0.000635,0,13,0,fused
262144,256,23.189946,20359.134,hybrid,48,3,0.000075,0,13,0,fused
262144,512,29.074584,23430.136,hybrid,48,3,0.000068,0,13,0,fused
262144,1024,36.464469,26500.140,hybrid,48,3,0.000102,0,13,0,fused
262144,2048,44.644863,35683.132,hybrid,48,3,0.000073,0,5,8,cufft
262144,4096,54.255974,31745.585,hybrid,64,3,0.000250,0,4,8,cufft
262144,262144,100.942043,49721.022,hybrid,64,1,0.000000,0,4,8,cufft
524288,64,33.055420,28428.007,hybrid,48,3,0.000182,0,14,0,fused
524288,128,39.289742,34575.758,hybrid,48,3,0.000222,0,14,0,fused
524288,256,46.145752,40719.259,hybrid,48,3,0.000113,0,14,0,fused
524288,512,57.810451,46862.261,hybrid,48,3,0.000042,0,14,0,fused
524288,1024,72.372397,53004.265,hybrid,48,3,0.000035,0,14,0,fused
524288,2048,88.795921,71406.257,hybrid,48,3,0.000048,0,5,9,cufft
524288,4096,108.176439,63571.147,hybrid,64,1,0.000000,0,4,9,cufft
524288,524288,221.508741,107634.054,hybrid,64,1,0.000000,0,4,9,cufft
