n,k,time_ms,peak_vram_mb,engine,B,reps,cv,tier1_levels,tier2_levels,tier3_levels,dominant_tier
64,64,0.056181,0.639,hybrid,64,5,0.039570,0,0,0,fused
128,64,0.078834,1.018,hybrid,128,3,0.025867,0,0,0,fused
128,128,0.080782,1.269,hybrid,128,3,0.009368,0,0,0,fused
256,64,0.136199,1.776,hybrid,256,3,0.003410,0,0,0,fused
256,128,0.137553,2.027,hybrid,256,3,0.011496,0,0,0,fused
256,256,0.082197,14.583,hybrid,64,3,0.006394,0,2,0,fused
512,64,0.277413,3.292,hybrid,512,3,0.006081,0,0,0,fused
512,128,0.179986,8.821,hybrid,320,3,0.029927,0,1,0,fused
512,256,0.110117,30.158,hybrid,64,5,0.045643,0,3,0,fused
512,512,0.115791,33.160,hybrid,64,3,0.004450,0,3,0,fused
1024,64,0.263329,12.885,hybrid,384,3,0.009129,0,2,0,fused
1024,128,0.244721,18.133,hybrid,320,3,0.009530,0,2,0,fused
1024,256,0.167681,61.306,hybrid,64,3,0.007277,0,4,0,fused
1024,512,0.190924,68.308,hybrid,64,3,0.006222,0,4,0,fused
1024,1024,0.200365,74.312,hybrid,64,3,0.013325,0,4,0,fused
2048,64,0.414310,26.012,hybrid,384,3,0.001028,0,3,0,fused
2048,128,0.247995,134.571,hybrid,48,3,0.002931,0,6,0,fused
2048,256,0.299958,138.650,hybrid,112,3,0.004316,0,5,0,fused
2048,512,1.259293,35.179,hybrid,1280,3,0.001144,0,1,0,fused
2048,1024,0.421249,140.898,hybrid,144,3,0.004399,0,4,0,fused
2048,2048,0.610233,373.273,hybrid,48,3,0.001353,0,3,3,fused
4096,64,0.710889,54.281,hybrid,448,3,0.004734,0,4,0,fused
4096,128,0.786733,47.875,hybrid,512,3,0.001767,0,3,0,fused
4096,256,0.489014,317.136,hybrid,48,3,0.002691,0,7,0,fused
4096,512,0.612107,278.824,hybrid,64,3,0.004523,0,6,0,fused
4096,1024,0.741519,308.828,hybrid,64,3,0.002433,0,6,0,fused
4096,2048,0.826334,400.867,hybrid,64,3,0.004242,0,4,2,fused
4096,4096,0.844905,424.883,hybrid,64,3,0.004861,0,4,2,fused
8192,64,1.017319,96.711,hybrid,256,3,0.001501,0,5,0,fused
8192,128,0.729963,539.762,hybrid,48,3,0.003533,0,8,0,fused
8192,256,0.851837,635.263,hybrid,48,3,0.003236,0,8,0,fused
8192,512,1.076514,730.265,hybrid,48,3,0.006601,0,8,0,fused
8192,1024,1.559416,1077.644,hybrid,48,3,0.000955,0,8,0,fused
8192,2048,1.554435,841.728,hybrid,64,3,0.001598,0,4,3,fused
8192,4096,2.025609,1281.431,hybrid,80,3,0.000769,0,2,5,cufft
8192,8192,2.252387,937.242,hybrid,144,3,0.000825,0,3,3,fused
16384,64,4.185277,120.984,hybrid,1024,3,0.001161,0,4,0,fused
16384,128,1.365122,1080.016,hybrid,48,3,0.000847,0,9,0,fused
16384,256,1.592933,1271.517,hybrid,48,3,0.000634,0,9,0,fused
16384,512,2.018478,1462.519,hybrid,48,3,0.003613,0,9,0,fused
16384,1024,3.013546,1155.079,hybrid,144,3,0.000586,0,7,0,fused
16384,2048,3.117661,1723.448,hybrid,64,3,0.004021,0,4,4,fused
16384,4096,3.443633,1909.120,hybrid,64,3,0.000578,0,4,4,fused
16384,16384,4.111371,2211.558,hybrid,64,3,0.001318,0,4,4,fused
32768,64,2.356073,1001.265,hybrid,96,3,0.000591,0,9,0,fused
32768,128,4.277390,579.385,hybrid,256,3,0.000523,0,7,0,fused
32768,256,9.319919,385.509,hybrid,1024,3,0.001196,0,5,0,fused
32768,512,3.847098,2927.026,hybrid,48,3,0.000533,0,10,0,fused
32768,1024,5.553357,2498.522,hybrid,64,3,0.000891,0,9,0,fused
32768,2048,7.219317,6207.272,hybrid,48,3,0.000163,0,4,6,cufft
32768,4096,6.926714,3898.218,hybrid,64,3,0.000317,0,4,5,cufft
32768,32768,9.298041,4935.124,hybrid,64,3,0.000355,0,4,5,cufft
65536,64,5.738196,1195.265,hybrid,160,3,0.001529,0,9,0,fused
65536,128,15.625693,870.135,hybrid,896,3,0.000169,0,7,0,fused
65536,256,21.265184,804.260,hybrid,1280,3,0.001003,0,6,0,fused
65536,512,20.617515,2021.013,hybrid,896,3,0.000335,0,7,0,fused
65536,1024,29.694970,1953.641,hybrid,1280,3,0.000117,0,6,0,fused
65536,2048,11.984499,7558.272,hybrid,80,3,0.000124,0,4,6,cufft
65536,4096,14.884340,9561.788,hybrid,80,3,0.000353,0,4,6,cufft
65536,65536,20.301268,10894.257,hybrid,64,3,0.000643,0,4,6,cufft
131072,64,8.388965,7106.820,hybrid,48,3,0.000834,0,12,0,fused
131072,128,18.749102,2448.016,hybrid,384,3,0.000487,0,9,0,fused
131072,256,12.931806,7961.040,hybrid,64,3,0.000226,0,11,0,fused
131072,512,40.751618,4044.015,hybrid,896,3,0.000492,0,8,0,fused
131072,1024,18.456313,13248.077,hybrid,48,3,0.000107,0,12,0,fused
131072,2048,24.152990,14067.538,hybrid,64,3,0.000148,0,4,7,cufft
131072,4096,27.262737,15832.804,hybrid,64,3,0.000189,0,4,7,cufft
131072,131072,46.051680,22812.507,hybrid,64,3,0.000281,0,4,7,cufft
262144,64,16.618410,14213.882,hybrid,48,3,0.000263,0,13,0,fused
262144,128,19.741312,17287.633,hybrid,48,3,0.000308,0,13,0,fused
262144,256,23.191519,20359.134,hybrid,48,3,0.000259,0,13,0,fused
262144,512,29.079804,23430.136,hybrid,48,3,0.000054,0,13,0,fused
262144,1024,36.466209,26500.140,hybrid,48,3,0.000355,0,13,0,fused
262144,2048,56.566033,49036.069,hybrid,112,3,0.000039,0,3,9,cufft
262144,4096,58.590515,38487.085,hybrid,80,3,0.000062,0,4,8,cufft
262144,262144,100.925152,49721.022,hybrid,64,1,0.000000,0,4,8,cufft
524288,64,33.052037,28428.007,hybrid,48,3,0.000240,0,14,0,fused
524288,128,39.281008,34575.758,hybrid,48,3,0.000054,0,14,0,fused
524288,256,46.137523,40719.259,hybrid,48,3,0.000081,0,14,0,fused
524288,512,57.822296,46862.261,hybrid,48,3,0.000414,0,14,0,fused
524288,1024,72.375002,53004.265,hybrid,48,3,0.000037,0,14,0,fused
524288,2048,88.792236,71406.257,hybrid,48,3,0.000109,0,5,9,cufft
524288,4096,108.172481,63571.147,hybrid,64,1,0.000000,0,4,9,cufft
524288,524288,221.537877,107634.054,hybrid,64,1,0.000000,0,4,9,cufft
