n,k,time_ms,peak_vram_mb,engine,B,reps,cv,tier1_levels,tier2_levels,tier3_levels,dominant_tier
64,64,0.056642,0.639,hybrid,64,3,0.022362,0,0,0,fused
128,64,0.081863,1.018,hybrid,128,3,0.013009,0,0,0,fused
128,128,0.084147,1.269,hybrid,128,3,0.022243,0,0,0,fused
256,64,0.138382,1.776,hybrid,256,3,0.006305,0,0,0,fused
256,128,0.141072,2.027,hybrid,256,3,0.007362,0,0,0,fused
256,256,0.146267,2.529,hybrid,256,3,0.013993,0,0,0,fused
512,64,0.148683,9.602,hybrid,224,3,0.020076,0,2,0,fused
512,128,0.284507,3.542,hybrid,512,3,0.003769,0,0,0,fused
512,256,0.221159,14.576,hybrid,384,3,0.004445,0,1,0,fused
512,512,0.304192,5.048,hybrid,512,3,0.001269,0,0,0,fused
1024,64,0.216710,19.445,hybrid,224,3,0.010914,0,3,0,fused
1024,128,0.750274,6.574,hybrid,1024,3,0.001845,0,0,0,fused
1024,256,0.292441,30.142,hybrid,384,3,0.000749,0,2,0,fused
1024,512,0.447062,28.613,hybrid,640,3,0.002454,0,1,0,fused
1024,1024,0.215970,74.312,hybrid,64,3,0.006892,0,4,0,fused
2048,64,0.236022,110.805,hybrid,48,3,0.004509,0,6,0,fused
2048,128,0.271522,134.571,hybrid,48,3,0.005731,0,6,0,fused
2048,256,0.304938,128.619,hybrid,80,3,0.013013,0,5,0,fused
2048,512,0.365317,147.621,hybrid,80,3,0.002975,0,5,0,fused
2048,1024,0.459548,222.906,hybrid,80,3,0.002331,0,4,1,fused
2048,2048,0.450297,180.625,hybrid,64,3,0.008259,0,4,1,fused
4096,64,0.679317,52.266,hybrid,384,3,0.015011,0,4,0,fused
4096,128,0.435312,218.712,hybrid,80,3,0.002924,0,6,0,fused
4096,256,0.532676,278.291,hybrid,112,3,0.003182,0,6,0,fused
4096,512,0.631326,278.824,hybrid,64,3,0.001481,0,6,0,fused
4096,1024,0.763035,308.828,hybrid,64,3,0.009530,0,6,0,fused
4096,2048,0.865639,400.867,hybrid,64,3,0.005155,0,4,2,fused
4096,4096,0.887439,424.883,hybrid,64,3,0.002140,0,4,2,fused
8192,64,0.637697,246.103,hybrid,80,3,0.003580,0,7,0,fused
8192,128,0.921681,244.978,hybrid,160,3,0.000644,0,6,0,fused
8192,256,0.875517,635.263,hybrid,48,3,0.006325,0,8,0,fused
8192,512,1.107423,730.265,hybrid,48,3,0.002773,0,8,0,fused
8192,1024,1.431576,621.642,hybrid,64,3,0.001839,0,7,0,fused
8192,2048,1.726030,803.633,hybrid,144,3,0.003514,0,3,3,fused
8192,4096,2.353642,1668.964,hybrid,48,3,0.001630,0,4,4,fused
8192,8192,2.839334,1595.259,hybrid,96,3,0.001219,0,3,4,cufft
16384,64,1.180820,888.140,hybrid,48,3,0.002293,0,9,0,fused
16384,128,1.388353,1080.016,hybrid,48,3,0.001715,0,9,0,fused
16384,256,1.620390,1271.517,hybrid,48,3,0.002033,0,9,0,fused
16384,512,2.040329,1462.519,hybrid,48,3,0.001292,0,9,0,fused
16384,1024,2.822953,1351.394,hybrid,80,3,0.002101,0,8,0,fused
16384,2048,3.164170,1723.448,hybrid,64,3,0.001017,0,4,4,fused
16384,4096,3.508971,1909.120,hybrid,64,3,0.000521,0,4,4,fused
16384,16384,4.169800,2211.558,hybrid,64,3,0.000853,0,4,4,fused
32768,64,2.230080,985.140,hybrid,80,3,0.000528,0,9,0,fused
32768,128,3.984931,1013.637,hybrid,224,3,0.000691,0,8,0,fused
32768,256,12.385690,417.759,hybrid,1536,3,0.000187,0,5,0,fused
32768,512,3.868085,2927.026,hybrid,48,3,0.000402,0,10,0,fused
32768,1024,5.495675,4219.530,hybrid,48,3,0.000263,0,9,1,fused
32768,2048,7.344516,6094.515,hybrid,112,3,0.000208,0,3,6,cufft
32768,4096,7.847481,3953.526,hybrid,144,3,0.000337,0,3,5,cufft
32768,32768,9.314899,4935.124,hybrid,64,3,0.000433,0,4,5,cufft
65536,64,16.304127,484.665,hybrid,1024,3,0.000074,0,6,0,fused
65536,128,22.950576,644.946,hybrid,1536,3,0.002810,0,6,0,fused
65536,256,6.700007,4140.524,hybrid,80,3,0.000114,0,10,0,fused
65536,512,26.743398,1219.637,hybrid,1536,3,0.001562,0,6,0,fused
65536,1024,9.780148,6256.530,hybrid,112,3,0.000154,0,10,0,fused
65536,2048,11.983652,7558.272,hybrid,80,3,0.000466,0,4,6,cufft
65536,4096,14.870889,9561.788,hybrid,80,3,0.000489,0,4,6,cufft
65536,65536,20.273821,10894.257,hybrid,64,3,0.000214,0,4,6,cufft
131072,64,8.381604,7106.820,hybrid,48,3,0.000122,0,12,0,fused
131072,128,30.851456,1740.762,hybrid,896,3,0.000333,0,8,0,fused
131072,256,47.513983,1674.011,hybrid,1536,3,0.000051,0,7,0,fused
131072,512,14.669305,11714.073,hybrid,48,3,0.000271,0,12,0,fused
131072,1024,18.440980,13248.077,hybrid,48,3,0.000108,0,12,0,fused
131072,2048,28.295797,24498.038,hybrid,112,3,0.000534,0,3,8,cufft
131072,4096,27.193154,15832.804,hybrid,64,3,0.000340,0,4,7,cufft
131072,131072,45.757641,22812.507,hybrid,64,3,0.000610,0,4,7,cufft
262144,64,16.584165,14213.882,hybrid,48,3,0.000141,0,13,0,fused
262144,128,19.717706,17287.633,hybrid,48,3,0.000078,0,13,0,fused
262144,256,23.148885,20359.134,hybrid,48,3,0.000019,0,13,0,fused
262144,512,29.017875,23430.136,hybrid,48,3,0.000119,0,13,0,fused
262144,1024,36.372150,26500.140,hybrid,48,3,0.000062,0,13,0,fused
262144,2048,56.039413,49036.069,hybrid,112,3,0.000231,0,3,9,cufft
262144,4096,58.149052,38487.085,hybrid,80,3,0.000104,0,4,8,cufft
262144,262144,100.065249,49721.022,hybrid,64,1,0.000000,0,4,8,cufft
524288,64,32.949693,28428.007,hybrid,48,3,0.000119,0,14,0,fused
524288,128,39.186796,34575.758,hybrid,48,3,0.000083,0,14,0,fused
524288,256,46.008646,40719.259,hybrid,48,3,0.000132,0,14,0,fused
524288,512,57.651313,46862.261,hybrid,48,3,0.000011,0,14,0,fused
524288,1024,72.143910,53004.265,hybrid,48,3,0.000176,0,14,0,fused
524288,2048,88.136544,71406.257,hybrid,48,3,0.000106,0,5,9,cufft
524288,4096,107.367873,63571.147,hybrid,64,1,0.000000,0,4,9,cufft
524288,524288,219.632032,107634.054,hybrid,64,1,0.000000,0,4,9,cufft
