n,k,time_ms,peak_vram_mb,engine,B,reps,cv,tier1_levels,tier2_levels,tier3_levels,dominant_tier
64,64,0.058912,0.639,hybrid,64,10,0.020105,0,0,0,fused
128,64,0.071938,3.544,hybrid,64,15,0.035453,0,1,0,fused
128,128,0.072358,6.295,hybrid,64,10,0.019306,0,1,0,fused
256,64,0.089213,7.330,hybrid,64,15,0.068964,0,2,0,fused
256,128,0.090128,13.083,hybrid,64,10,0.015359,0,2,0,fused
256,256,0.090931,14.583,hybrid,64,10,0.008649,0,2,0,fused
512,64,0.110299,14.902,hybrid,64,10,0.016821,0,3,0,fused
512,128,0.115209,26.657,hybrid,64,15,0.030569,0,3,0,fused
512,256,0.119852,30.158,hybrid,64,10,0.004459,0,3,0,fused
512,512,0.127169,33.160,hybrid,64,10,0.009830,0,3,0,fused
1024,64,0.152275,30.047,hybrid,64,10,0.007641,0,4,0,fused
1024,128,0.166546,53.805,hybrid,64,10,0.006881,0,4,0,fused
1024,256,0.182226,61.306,hybrid,64,10,0.024275,0,4,0,fused
1024,512,0.208494,68.308,hybrid,64,10,0.016778,0,4,0,fused
1024,1024,0.219659,74.312,hybrid,64,10,0.012832,0,4,0,fused
2048,64,0.233649,60.336,hybrid,64,10,0.019829,0,5,0,fused
2048,128,0.264446,108.102,hybrid,64,10,0.007027,0,5,0,fused
2048,256,0.302745,123.603,hybrid,64,10,0.008059,0,5,0,fused
2048,512,0.525580,138.605,hybrid,64,15,0.213906,0,5,0,fused
2048,1024,0.588137,152.609,hybrid,64,10,0.006732,0,5,0,fused
2048,2048,0.625645,164.617,hybrid,64,10,0.012325,0,4,1,fused
4096,64,0.542128,120.915,hybrid,64,10,0.018526,0,6,0,fused
4096,128,0.607615,216.696,hybrid,64,10,0.007674,0,6,0,fused
4096,256,0.694395,247.822,hybrid,64,10,0.005184,0,6,0,fused
4096,512,0.814939,278.824,hybrid,64,10,0.006833,0,6,0,fused
4096,1024,0.944913,308.828,hybrid,64,10,0.006041,0,6,0,fused
4096,2048,1.043497,368.852,hybrid,64,10,0.003568,0,4,2,fused
4096,4096,1.080534,424.867,hybrid,64,10,0.007011,0,4,2,fused
8192,64,0.803663,242.072,hybrid,64,10,0.004687,0,7,0,fused
8192,128,0.936587,433.885,hybrid,64,10,0.004152,0,7,0,fused
8192,256,1.087448,496.636,hybrid,64,10,0.006152,0,7,0,fused
8192,512,1.332964,559.638,hybrid,64,10,0.003996,0,7,0,fused
8192,1024,1.606601,621.642,hybrid,64,10,0.003799,0,7,0,fused
8192,2048,1.778532,777.696,hybrid,64,10,0.001892,0,4,3,fused
8192,4096,1.946652,929.712,hybrid,64,10,0.002247,0,4,3,fused
8192,8192,2.056540,977.743,hybrid,64,10,0.003649,0,4,3,fused
16384,64,1.336065,484.386,hybrid,64,10,0.003073,0,8,0,fused
16384,128,3.877488,612.262,hybrid,64,10,0.001969,0,8,0,fused
16384,256,4.055796,994.263,hybrid,64,10,0.002456,0,8,0,fused
