n,k,time_ms,peak_vram_mb,engine,B,reps,cv,tier1_levels,tier2_levels,tier3_levels,dominant_tier
64,64,0.062393,4.200,hybrid,8,15,0.038775,1,2,0,fused
128,64,0.084905,8.643,hybrid,8,10,0.026159,1,3,0,fused
128,128,0.086925,9.393,hybrid,8,13,0.029822,1,3,0,fused
256,64,0.108383,17.527,hybrid,8,10,0.018041,1,4,0,fused
256,128,0.110138,19.278,hybrid,8,10,0.012098,1,4,0,fused
256,256,0.111124,20.779,hybrid,8,13,0.029680,1,4,0,fused
512,64,0.116345,27.016,hybrid,32,10,0.023031,0,4,0,fused
512,128,0.121785,30.766,hybrid,32,10,0.012366,0,4,0,fused
512,256,0.128151,34.267,hybrid,32,10,0.028656,0,4,0,fused
512,512,0.134313,37.269,hybrid,32,10,0.014359,0,4,0,fused
1024,64,0.161160,54.273,hybrid,32,10,0.014225,0,5,0,fused
1024,128,0.174376,62.024,hybrid,32,10,0.007436,0,5,0,fused
1024,256,0.192548,69.525,hybrid,32,10,0.011287,0,5,0,fused
1024,512,0.218910,76.527,hybrid,32,10,0.010052,0,5,0,fused
1024,1024,0.248649,82.531,hybrid,32,10,0.014507,0,4,1,fused
2048,64,0.255799,108.790,hybrid,32,10,0.009547,0,6,0,fused
2048,128,0.284381,124.540,hybrid,32,10,0.005771,0,6,0,fused
2048,256,0.321973,140.041,hybrid,32,10,0.008360,0,6,0,fused
2048,512,0.381864,155.043,hybrid,32,10,0.006190,0,6,0,fused
2048,1024,0.458019,185.062,hybrid,32,10,0.017219,0,4,2,fused
2048,2048,0.472830,197.070,hybrid,32,10,0.006907,0,4,2,fused
4096,64,0.366793,120.915,hybrid,64,10,0.007794,0,6,0,fused
4096,128,0.430738,216.696,hybrid,64,10,0.004309,0,6,0,fused
4096,256,0.506661,248.197,hybrid,64,10,0.008559,0,6,0,fused
4096,512,0.627586,279.199,hybrid,64,10,0.003733,0,6,0,fused
4096,1024,0.754771,357.250,hybrid,64,10,0.003357,0,3,3,fused
4096,2048,0.816905,401.258,hybrid,64,10,0.002768,0,3,3,fused
4096,4096,0.857840,457.273,hybrid,64,10,0.002331,0,3,3,fused
8192,64,0.635425,242.072,hybrid,64,10,0.006799,0,7,0,fused
8192,128,0.761372,433.885,hybrid,64,10,0.003041,0,7,0,fused
8192,256,0.906090,497.386,hybrid,64,10,0.004657,0,7,0,fused
8192,512,1.152319,560.388,hybrid,64,10,0.001777,0,7,0,fused
8192,1024,1.387463,734.501,hybrid,64,10,0.001536,0,3,4,cufft
8192,2048,1.544062,842.509,hybrid,64,10,0.002207,0,3,4,cufft
8192,4096,1.723856,994.524,hybrid,64,10,0.001735,0,3,4,cufft
8192,8192,1.821249,1042.556,hybrid,64,15,0.032135,0,3,4,cufft
16384,64,1.192531,484.386,hybrid,64,10,0.001787,0,8,0,fused
16384,128,1.610948,482.385,hybrid,128,10,0.002779,0,7,0,fused
16384,256,1.909759,866.011,hybrid,128,10,0.001076,0,7,0,fused
16384,512,2.411949,993.013,hybrid,128,10,0.001070,0,7,0,fused
16384,1024,2.863361,1359.251,hybrid,128,10,0.000853,0,2,5,cufft
16384,2048,3.217202,1595.259,hybrid,128,10,0.000956,0,2,5,cufft
16384,4096,3.659696,1939.274,hybrid,128,10,0.001064,0,2,5,cufft
16384,8192,4.066436,2115.306,hybrid,128,10,0.000834,0,2,5,cufft
16384,16384,4.369479,2211.368,hybrid,128,10,0.000878,0,2,5,cufft
32768,64,2.270477,969.015,hybrid,64,10,0.001049,0,9,0,fused
