n,k,time_ms,peak_vram_mb,engine,B,reps,cv,tier1_levels,tier2_levels,tier3_levels,dominant_tier
64,64,0.059216,0.639,hybrid,64,10,0.022799,0,0,0,fused
128,64,0.070010,3.544,hybrid,64,10,0.023389,0,1,0,fused
128,128,0.069110,6.295,hybrid,64,10,0.017678,0,1,0,fused
256,64,0.085210,7.330,hybrid,64,10,0.014166,0,2,0,fused
256,128,0.083776,13.083,hybrid,64,10,0.011847,0,2,0,fused
256,256,0.085820,14.583,hybrid,64,10,0.020632,0,2,0,fused
512,64,0.100719,14.902,hybrid,64,10,0.009037,0,3,0,fused
512,128,0.106972,26.657,hybrid,64,10,0.007889,0,3,0,fused
512,256,0.113133,30.158,hybrid,64,10,0.010614,0,3,0,fused
512,512,0.120571,33.160,hybrid,64,10,0.014624,0,3,0,fused
1024,64,0.141288,30.047,hybrid,64,10,0.006266,0,4,0,fused
1024,128,0.155661,53.805,hybrid,64,10,0.018052,0,4,0,fused
1024,256,0.170978,61.306,hybrid,64,10,0.005744,0,4,0,fused
1024,512,0.195245,68.308,hybrid,64,10,0.009000,0,4,0,fused
1024,1024,0.205322,74.312,hybrid,64,10,0.004361,0,4,0,fused
2048,64,0.211242,60.336,hybrid,64,10,0.006954,0,5,0,fused
2048,128,0.240098,108.102,hybrid,64,10,0.004939,0,5,0,fused
2048,256,0.275106,123.603,hybrid,64,10,0.010735,0,5,0,fused
2048,512,0.331612,138.605,hybrid,64,10,0.007699,0,5,0,fused
2048,1024,0.384201,152.609,hybrid,64,10,0.003334,0,5,0,fused
2048,2048,0.424386,180.625,hybrid,64,10,0.007066,0,4,1,fused
4096,64,0.348889,120.915,hybrid,64,10,0.002353,0,6,0,fused
4096,128,0.415905,152.696,hybrid,64,10,0.005925,0,6,0,fused
4096,256,0.489443,247.822,hybrid,64,10,0.003628,0,6,0,fused
4096,512,0.613857,278.824,hybrid,64,10,0.003001,0,6,0,fused
4096,1024,0.746951,308.828,hybrid,64,10,0.002960,0,6,0,fused
4096,2048,0.825359,400.867,hybrid,64,10,0.003108,0,4,2,fused
4096,4096,0.848194,424.883,hybrid,64,10,0.003579,0,4,2,fused
8192,64,0.615918,242.072,hybrid,64,10,0.005511,0,7,0,fused
8192,128,0.735572,305.885,hybrid,64,10,0.002419,0,7,0,fused
8192,256,0.882611,496.636,hybrid,64,10,0.001382,0,7,0,fused
8192,512,1.130344,559.638,hybrid,64,10,0.001747,0,7,0,fused
8192,1024,1.410762,621.642,hybrid,64,10,0.000942,0,7,0,fused
8192,2048,1.557561,841.728,hybrid,64,10,0.000848,0,4,3,fused
8192,4096,1.657056,914.571,hybrid,64,10,0.001648,0,4,3,fused
8192,8192,1.783880,977.774,hybrid,64,10,0.000829,0,4,3,fused
16384,64,1.161237,484.386,hybrid,64,10,0.001630,0,8,0,fused
16384,128,1.403176,612.262,hybrid,64,10,0.002197,0,8,0,fused
16384,256,1.693028,994.263,hybrid,64,10,0.000736,0,8,0,fused
16384,512,2.205605,1121.265,hybrid,64,10,0.000556,0,8,0,fused
16384,1024,2.786341,1247.269,hybrid,64,10,0.001004,0,8,0,fused
16384,2048,3.109174,1723.448,hybrid,64,10,0.000711,0,4,4,fused
16384,4096,3.435597,1909.120,hybrid,64,10,0.000753,0,4,4,fused
16384,8192,3.849661,2083.964,hybrid,64,10,0.000418,0,4,4,fused
16384,16384,4.101098,2211.558,hybrid,64,10,0.000571,0,4,4,fused
32768,64,2.235806,969.015,hybrid,64,10,0.000417,0,9,0,fused
32768,128,2.739827,1225.016,hybrid,64,10,0.000618,0,9,0,fused
32768,256,3.320871,1989.517,hybrid,64,10,0.000506,0,9,0,fused
32768,512,4.346602,2244.519,hybrid,64,10,0.000667,0,9,0,fused
32768,1024,5.539615,2498.522,hybrid,64,10,0.000394,0,9,0,fused
32768,2048,6.162472,3486.890,hybrid,64,10,0.000414,0,4,5,cufft
32768,4096,6.900485,3898.218,hybrid,64,10,0.000441,0,4,5,cufft
32768,8192,7.874172,4327.874,hybrid,64,10,0.000433,0,4,5,cufft
32768,16384,8.710281,4682.312,hybrid,64,10,0.000347,0,4,5,cufft
32768,32768,9.248834,4935.124,hybrid,64,10,0.000290,0,4,5,cufft
65536,64,4.371624,1938.273,hybrid,64,10,0.000403,0,10,0,fused
65536,128,5.369234,2450.523,hybrid,64,10,0.000519,0,10,0,fused
65536,256,6.528627,3980.024,hybrid,64,10,0.000400,0,10,0,fused
65536,512,8.580704,4491.026,hybrid,64,10,0.000262,0,10,0,fused
65536,1024,10.967560,5001.030,hybrid,64,3,0.000282,0,10,0,fused
65536,2048,12.156182,7013.772,hybrid,64,3,0.000390,0,4,6,cufft
65536,4096,13.684265,7876.413,hybrid,64,3,0.000344,0,4,6,cufft
65536,8192,15.773068,8815.694,hybrid,64,3,0.000187,0,4,6,cufft
65536,16384,17.785322,9684.507,hybrid,64,3,0.000098,0,4,6,cufft
65536,32768,19.386334,10390.007,hybrid,64,3,0.000585,0,4,6,cufft
65536,65536,20.228902,10894.257,hybrid,64,3,0.000220,0,4,6,cufft
131072,64,8.618401,3876.789,hybrid,64,10,0.000347,0,11,0,fused
131072,128,10.581370,4901.539,hybrid,64,3,0.000114,0,11,0,fused
131072,256,12.907769,7961.040,hybrid,64,3,0.000258,0,11,0,fused
131072,512,17.001930,8984.042,hybrid,64,3,0.000224,0,11,0,fused
131072,1024,21.787655,10006.046,hybrid,64,3,0.000091,0,11,0,fused
