n,k,time_ms,peak_vram_mb,engine,B,reps,cv,tier1_levels,tier2_levels,tier3_levels,dominant_tier
64,64,0.054482,0.639,hybrid,64,15,0.044590,0,0,0,fused
128,64,0.065459,3.544,hybrid,64,10,0.020205,0,1,0,fused
128,128,0.064938,6.295,hybrid,64,10,0.027811,0,1,0,fused
256,64,0.079684,7.330,hybrid,64,10,0.013244,0,2,0,fused
256,128,0.089017,13.083,hybrid,64,15,0.099379,0,2,0,fused
256,256,0.082985,14.583,hybrid,64,15,0.052520,0,2,0,fused
512,64,0.106532,14.902,hybrid,64,10,0.023214,0,3,0,fused
512,128,0.103913,26.657,hybrid,64,15,0.041684,0,3,0,fused
512,256,0.108364,30.158,hybrid,64,10,0.011617,0,3,0,fused
512,512,0.115076,33.160,hybrid,64,13,0.029126,0,3,0,fused
1024,64,0.135971,30.047,hybrid,64,13,0.029206,0,4,0,fused
1024,128,0.149593,53.805,hybrid,64,10,0.016352,0,4,0,fused
1024,256,0.166390,61.306,hybrid,64,10,0.006150,0,4,0,fused
1024,512,0.189545,68.308,hybrid,64,10,0.007647,0,4,0,fused
1024,1024,0.200600,74.312,hybrid,64,10,0.011398,0,4,0,fused
2048,64,0.206709,60.336,hybrid,64,10,0.003475,0,5,0,fused
2048,128,0.236175,108.102,hybrid,64,10,0.009687,0,5,0,fused
2048,256,0.269821,123.603,hybrid,64,10,0.002650,0,5,0,fused
2048,512,0.330398,138.605,hybrid,64,10,0.011694,0,5,0,fused
2048,1024,0.384235,152.609,hybrid,64,10,0.003536,0,5,0,fused
2048,2048,0.423645,180.625,hybrid,64,10,0.011708,0,4,1,fused
4096,64,0.348174,120.915,hybrid,64,10,0.003617,0,6,0,fused
4096,128,0.414123,152.696,hybrid,64,10,0.002788,0,6,0,fused
4096,256,0.487242,247.822,hybrid,64,10,0.003537,0,6,0,fused
4096,512,0.610274,278.824,hybrid,64,10,0.004221,0,6,0,fused
4096,1024,0.742909,308.828,hybrid,64,10,0.002762,0,6,0,fused
4096,2048,0.821067,400.867,hybrid,64,10,0.001948,0,4,2,fused
4096,4096,0.846416,424.883,hybrid,64,10,0.003762,0,4,2,fused
8192,64,0.612209,242.072,hybrid,64,10,0.003259,0,7,0,fused
8192,128,0.734372,305.885,hybrid,64,10,0.002746,0,7,0,fused
8192,256,0.879117,496.636,hybrid,64,10,0.001158,0,7,0,fused
8192,512,1.128880,559.638,hybrid,64,10,0.001903,0,7,0,fused
8192,1024,1.407549,621.642,hybrid,64,10,0.001404,0,7,0,fused
8192,2048,1.556953,841.728,hybrid,64,10,0.002983,0,4,3,fused
8192,4096,1.658532,914.571,hybrid,64,10,0.001064,0,4,3,fused
8192,8192,1.782008,977.774,hybrid,64,10,0.000874,0,4,3,fused
16384,64,1.160467,484.386,hybrid,64,10,0.002406,0,8,0,fused
16384,128,1.405842,612.262,hybrid,64,10,0.001834,0,8,0,fused
16384,256,1.693016,994.263,hybrid,64,10,0.001328,0,8,0,fused
16384,512,2.204356,1121.265,hybrid,64,10,0.000363,0,8,0,fused
16384,1024,2.787008,1247.269,hybrid,64,10,0.000538,0,8,0,fused
16384,2048,3.113010,1723.448,hybrid,64,10,0.001071,0,4,4,fused
16384,4096,3.443823,1909.120,hybrid,64,10,0.002954,0,4,4,fused
16384,8192,3.856740,2083.964,hybrid,64,10,0.000524,0,4,4,fused
16384,16384,4.111410,2211.558,hybrid,64,10,0.000731,0,4,4,fused
32768,64,2.236975,969.015,hybrid,64,10,0.001544,0,9,0,fused
32768,128,2.743799,1225.016,hybrid,64,10,0.000577,0,9,0,fused
32768,256,3.323478,1989.517,hybrid,64,10,0.000453,0,9,0,fused
32768,512,4.349938,2244.519,hybrid,64,10,0.000285,0,9,0,fused
32768,1024,5.545585,2498.522,hybrid,64,10,0.000499,0,9,0,fused
32768,2048,6.175513,3486.890,hybrid,64,10,0.000528,0,4,5,cufft
32768,4096,6.918412,3898.218,hybrid,64,10,0.000361,0,4,5,cufft
32768,8192,7.899007,4327.874,hybrid,64,10,0.000553,0,4,5,cufft
32768,16384,8.735251,4682.312,hybrid,64,10,0.000342,0,4,5,cufft
32768,32768,9.275103,4935.124,hybrid,64,10,0.000445,0,4,5,cufft
65536,64,4.380528,1938.273,hybrid,64,10,0.000299,0,10,0,fused
65536,128,5.379228,2450.523,hybrid,64,10,0.000595,0,10,0,fused
65536,256,6.540515,3980.024,hybrid,64,10,0.000258,0,10,0,fused
65536,512,8.597520,4491.026,hybrid,64,10,0.000237,0,10,0,fused
65536,1024,10.983108,5001.030,hybrid,64,3,0.000058,0,10,0,fused
65536,2048,12.184196,7013.772,hybrid,64,3,0.000159,0,4,6,cufft
65536,4096,13.727268,7876.413,hybrid,64,3,0.000410,0,4,6,cufft
65536,8192,15.827353,8815.694,hybrid,64,3,0.000326,0,4,6,cufft
65536,16384,17.835103,9684.507,hybrid,64,3,0.000463,0,4,6,cufft
65536,32768,19.452178,10390.007,hybrid,64,3,0.000177,0,4,6,cufft
65536,65536,20.298638,10894.257,hybrid,64,3,0.000469,0,4,6,cufft
131072,64,10.083483,2326.273,hybrid,128,3,0.000013,0,10,0,fused
131072,128,10.607911,4901.539,hybrid,64,3,0.000173,0,11,0,fused
131072,256,12.936390,7961.040,hybrid,64,3,0.000211,0,11,0,fused
131072,512,17.034281,8984.042,hybrid,64,3,0.000228,0,11,0,fused
131072,1024,21.825760,10006.046,hybrid,64,3,0.000186,0,11,0,fused
131072,2048,24.143735,14067.538,hybrid,64,3,0.000168,0,4,7,cufft
131072,4096,27.254924,15832.804,hybrid,64,3,0.000202,0,4,7,cufft
131072,8192,31.579198,17791.335,hybrid,64,3,0.000304,0,4,7,cufft
131072,16384,35.875281,19688.897,hybrid,64,3,0.000208,0,4,7,cufft
131072,32768,39.727661,21419.772,hybrid,64,3,0.000497,0,4,7,cufft
131072,65536,42.625100,22835.038,hybrid,64,3,0.000362,0,4,7,cufft
131072,131072,46.046038,22812.507,hybrid,64,3,0.000623,0,4,7,cufft
262144,64,20.055833,4652.789,hybrid,128,3,0.000082,0,11,0,fused
262144,128,23.943133,7725.539,hybrid,128,3,0.000119,0,11,0,fused
262144,256,29.071039,13935.540,hybrid,144,3,0.000062,0,11,0,fused
262144,512,36.281829,16239.042,hybrid,144,3,0.000075,0,11,0,fused
262144,1024,45.065882,18541.046,hybrid,144,3,0.000120,0,11,0,fused
262144,2048,48.008359,28175.069,hybrid,64,3,0.000054,0,4,8,cufft
262144,4096,54.240849,31745.585,hybrid,64,3,0.000086,0,4,8,cufft
262144,8192,62.976769,35742.616,hybrid,64,3,0.000165,0,4,8,cufft
262144,16384,71.746294,39697.679,hybrid,64,3,0.000429,0,4,8,cufft
262144,32768,80.100937,43479.304,hybrid,64,3,0.000355,0,4,8,cufft
262144,65536,87.323977,46949.585,hybrid,64,3,0.000043,0,4,8,cufft
262144,131072,96.700583,47704.022,hybrid,64,3,0.000144,0,4,8,cufft
262144,262144,100.890791,49721.022,hybrid,64,1,0.000000,0,4,8,cufft
524288,64,39.961525,9305.820,hybrid,128,3,0.000051,0,12,0,fused
524288,128,47.736792,15451.570,hybrid,128,3,0.000057,0,12,0,fused
524288,256,57.952054,27872.071,hybrid,144,3,0.000579,0,12,0,fused
524288,512,72.302534,32480.073,hybrid,144,3,0.000010,0,12,0,fused
524288,1024,89.724743,37086.077,hybrid,144,3,0.000105,0,12,0,fused
524288,2048,101.393025,52286.069,hybrid,128,1,0.000000,0,3,9,cufft
524288,4096,113.890102,59467.085,hybrid,128,1,0.000000,0,3,9,cufft
524288,8192,125.704688,71645.179,hybrid,64,1,0.000000,0,4,9,cufft
524288,16384,143.412719,79715.241,hybrid,64,1,0.000000,0,4,9,cufft
524288,32768,160.904311,87598.366,hybrid,64,1,0.000000,0,4,9,cufft
524288,65536,176.554523,95178.679,hybrid,64,1,0.000000,0,4,9,cufft
524288,131072,198.379106,97967.054,hybrid,64,1,0.000000,0,4,9,cufft
524288,262144,212.361150,103813.663,hybrid,64,1,0.000000,0,4,9,cufft
524288,524288,221.584984,107634.054,hybrid,64,1,0.000000,0,4,9,cufft
1048576,64,79.793648,18611.882,hybrid,128,3,0.000060,0,13,0,fused
1048576,128,95.331540,30903.633,hybrid,128,3,0.000207,0,13,0,fused
1048576,256,115.707868,55745.134,hybrid,144,1,0.000000,0,13,0,fused
1048576,512,144.319172,64962.136,hybrid,144,1,0.000000,0,13,0,fused
1048576,1024,179.032177,74176.140,hybrid,144,1,0.000000,0,13,0,fused
1048576,2048,202.404176,104612.132,hybrid,128,1,0.000000,0,3,10,cufft
1048576,4096,227.415193,119014.147,hybrid,128,1,0.000000,0,3,10,cufft
1048576,8192,262.623019,135242.179,hybrid,128,1,0.000000,0,3,10,cufft
1048576,16384,286.987132,79915.371,hybrid,64,1,0.000000,0,4,10,cufft
1048576,32768,458.129701,83152.669,hybrid,64,1,0.000000,0,4,10,cufft
1048576,65536,463.343550,83138.286,hybrid,64,1,0.000000,0,4,10,cufft
1048576,131072,499.711029,82527.729,hybrid,32,1,0.000000,0,5,10,cufft
1048576,262144,504.029261,82159.192,hybrid,32,1,0.000000,0,5,10,cufft
1048576,524288,509.298599,82326.173,hybrid,32,1,0.000000,0,5,10,cufft
1048576,1048576,514.423857,82614.580,hybrid,32,1,0.000000,0,5,10,cufft
2097152,64,159.716099,37224.007,hybrid,128,1,0.000000,0,14,0,fused
2097152,128,190.791569,61807.758,hybrid,128,1,0.000000,0,14,0,fused
2097152,256,228.036840,110975.259,hybrid,128,1,0.000000,0,14,0,fused
2097152,512,288.595672,129926.261,hybrid,144,1,0.000000,0,14,0,fused
