n,k,time_ms,peak_vram_mb,engine,B,reps,cv,tier1_levels,tier2_levels,tier3_levels,dominant_tier
64,64,0.073668,4.200,hybrid,8,5,0.067266,1,2,0,fused
128,64,0.087099,8.643,hybrid,8,3,0.020691,1,3,0,fused
128,128,0.092561,9.393,hybrid,8,5,0.067491,1,3,0,fused
256,64,0.111232,17.527,hybrid,8,3,0.008552,1,4,0,fused
256,128,0.113140,19.278,hybrid,8,3,0.012758,1,4,0,fused
256,256,0.114924,20.779,hybrid,8,5,0.072786,1,4,0,fused
512,64,0.119388,27.016,hybrid,32,3,0.019228,0,4,0,fused
512,128,0.127697,30.766,hybrid,32,3,0.016160,0,4,0,fused
512,256,0.134259,34.267,hybrid,32,3,0.010128,0,4,0,fused
512,512,0.138990,37.269,hybrid,32,3,0.020868,0,4,0,fused
1024,64,0.164428,54.273,hybrid,32,3,0.001895,0,5,0,fused
1024,128,0.182271,62.024,hybrid,32,3,0.009227,0,5,0,fused
1024,256,0.199729,69.525,hybrid,32,5,0.047660,0,5,0,fused
1024,512,0.221084,76.527,hybrid,32,3,0.003988,0,5,0,fused
1024,1024,0.231590,82.531,hybrid,32,4,0.026921,0,5,0,fused
2048,64,0.262708,108.790,hybrid,32,3,0.009979,0,6,0,fused
2048,128,0.288155,124.540,hybrid,32,3,0.000992,0,6,0,fused
2048,256,0.326749,140.041,hybrid,32,3,0.007755,0,6,0,fused
2048,512,0.392313,155.043,hybrid,32,3,0.015663,0,6,0,fused
2048,1024,0.438667,169.047,hybrid,32,3,0.008298,0,6,0,fused
2048,2048,0.484309,181.055,hybrid,32,3,0.000573,0,5,1,fused
4096,64,0.371884,120.915,hybrid,64,3,0.006870,0,6,0,fused
4096,128,0.437812,216.696,hybrid,64,3,0.004757,0,6,0,fused
4096,256,0.519829,248.197,hybrid,64,3,0.009878,0,6,0,fused
4096,512,0.631267,279.199,hybrid,64,3,0.002794,0,6,0,fused
4096,1024,0.759891,309.203,hybrid,64,3,0.006002,0,6,0,fused
4096,2048,0.865643,369.227,hybrid,64,3,0.002472,0,4,2,fused
4096,4096,0.904137,425.242,hybrid,64,3,0.003350,0,4,2,fused
8192,64,0.648798,242.072,hybrid,64,3,0.004869,0,7,0,fused
8192,128,0.765779,433.885,hybrid,64,3,0.006604,0,7,0,fused
8192,256,0.912345,497.386,hybrid,64,3,0.002409,0,7,0,fused
8192,512,1.157510,560.388,hybrid,64,3,0.001332,0,7,0,fused
8192,1024,1.433379,622.392,hybrid,64,3,0.003240,0,7,0,fused
8192,2048,1.607745,778.446,hybrid,64,3,0.001915,0,4,3,fused
8192,4096,1.780155,930.462,hybrid,64,3,0.001570,0,4,3,fused
8192,8192,1.891088,978.493,hybrid,64,3,0.001876,0,4,3,fused
16384,64,1.194607,484.386,hybrid,64,3,0.003637,0,8,0,fused
16384,128,1.615333,482.385,hybrid,128,3,0.000873,0,7,0,fused
16384,256,1.914666,866.011,hybrid,128,3,0.000319,0,7,0,fused
16384,512,2.417929,993.013,hybrid,128,3,0.000756,0,7,0,fused
16384,1024,2.992281,1119.017,hybrid,128,3,0.000969,0,7,0,fused
16384,2048,3.355224,1467.134,hybrid,128,3,0.001501,0,3,4,cufft
16384,4096,3.799598,1811.149,hybrid,128,3,0.001257,0,3,4,cufft
16384,16384,4.507049,2083.243,hybrid,128,3,0.000463,0,3,4,cufft
32768,64,2.277552,969.015,hybrid,64,3,0.001876,0,9,0,fused
32768,128,3.130785,965.262,hybrid,128,3,0.000508,0,8,0,fused
32768,256,3.709918,1733.013,hybrid,128,3,0.000793,0,8,0,fused
32768,512,4.722223,1988.015,hybrid,128,3,0.000978,0,8,0,fused
32768,1024,5.892920,2242.019,hybrid,128,3,0.000357,0,8,0,fused
32768,2048,6.572362,2974.261,hybrid,128,3,0.000399,0,3,5,cufft
32768,4096,7.514933,3702.276,hybrid,128,3,0.000364,0,3,5,cufft
32768,32768,9.839847,4678.503,hybrid,128,3,0.001177,0,3,5,cufft
65536,64,4.403535,1938.273,hybrid,64,3,0.000852,0,10,0,fused
65536,128,6.118783,1931.016,hybrid,128,3,0.000070,0,9,0,fused
65536,256,7.272077,3467.017,hybrid,128,3,0.000750,0,9,0,fused
65536,512,9.297246,3978.019,hybrid,128,3,0.000221,0,9,0,fused
65536,1024,11.662457,4488.022,hybrid,128,3,0.000232,0,9,0,fused
65536,2048,12.894660,5988.515,hybrid,128,3,0.000474,0,3,6,cufft
65536,4096,14.801461,7484.530,hybrid,128,3,0.000034,0,3,6,cufft
65536,65536,21.312658,10381.015,hybrid,128,3,0.000099,0,3,6,cufft
131072,64,8.648794,3876.789,hybrid,64,3,0.000123,0,11,0,fused
131072,128,12.068062,3862.523,hybrid,128,3,0.000207,0,10,0,fused
131072,256,14.382366,6935.024,hybrid,128,3,0.000341,0,10,0,fused
131072,512,18.412571,7958.026,hybrid,128,3,0.000051,0,10,0,fused
131072,1024,23.150663,8980.030,hybrid,128,3,0.000343,0,10,0,fused
131072,2048,25.457969,12017.022,hybrid,128,3,0.000227,0,3,7,cufft
131072,4096,29.296610,15049.038,hybrid,128,3,0.000298,0,3,7,cufft
131072,131072,47.793115,21786.022,hybrid,128,3,0.000012,0,3,7,cufft
262144,64,17.155880,7753.820,hybrid,64,3,0.000408,0,12,0,fused
262144,128,23.992787,7725.539,hybrid,128,3,0.000134,0,11,0,fused
262144,256,28.608742,13871.040,hybrid,128,3,0.000166,0,11,0,fused
262144,512,36.661974,15918.042,hybrid,128,3,0.000150,0,11,0,fused
262144,1024,46.126585,17964.046,hybrid,128,3,0.000195,0,11,0,fused
262144,2048,50.536043,24074.038,hybrid,128,3,0.000201,0,3,8,cufft
262144,4096,58.184106,30178.054,hybrid,128,3,0.000164,0,3,8,cufft
262144,262144,104.002915,47668.054,hybrid,128,1,0.000000,0,3,8,cufft
524288,64,34.143265,15507.882,hybrid,64,3,0.000060,0,13,0,fused
524288,128,47.815424,15451.570,hybrid,128,3,0.000076,0,12,0,fused
524288,256,57.044548,27743.071,hybrid,128,3,0.000121,0,12,0,fused
524288,512,73.124572,31838.073,hybrid,128,3,0.000034,0,12,0,fused
524288,1024,92.068462,35932.077,hybrid,128,3,0.000073,0,12,0,fused
524288,2048,100.621359,48188.069,hybrid,128,1,0.000000,0,3,9,cufft
524288,4096,115.886852,60436.085,hybrid,128,1,0.000000,0,3,9,cufft
524288,524288,225.495383,103528.116,hybrid,128,1,0.000000,0,3,9,cufft
