size,batch,t_schoolbook_ms,t_fused_ms,t_cufft_ms,winner
64,1,0.0122,0.0134,0.0407,schoolbook
64,4,0.0121,0.0140,0.0411,schoolbook
64,16,0.0121,0.0137,0.0403,schoolbook
64,64,0.0119,0.0137,0.0433,schoolbook
64,256,0.0123,0.0143,0.0463,schoolbook
128,1,0.0123,0.0157,0.0422,schoolbook
128,4,0.0124,0.0155,0.0417,schoolbook
128,16,0.0120,0.0161,0.0414,schoolbook
128,64,0.0120,0.0161,0.0432,schoolbook
128,256,0.0120,0.0163,0.0462,schoolbook
256,1,0.0138,0.0155,0.0420,schoolbook
256,4,0.0134,0.0156,0.0420,schoolbook
256,16,0.0137,0.0155,0.0472,schoolbook
256,64,0.0147,0.0152,0.0494,schoolbook
256,256,0.0155,0.0163,0.0515,schoolbook
512,1,0.0156,0.0150,0.0385,fused
512,4,0.0158,0.0188,0.0431,schoolbook
512,16,0.0175,0.0189,0.0463,schoolbook
512,64,0.0179,0.0189,0.0462,schoolbook
512,256,0.0217,0.0188,0.0522,fused
1024,1,0.0321,0.0212,0.0401,fused
1024,4,0.0321,0.0291,0.0474,fused
1024,16,0.0322,0.0292,0.0484,fused
1024,64,0.0332,0.0288,0.0514,fused
1024,256,0.0463,0.0294,0.0607,fused
2048,1,0.0831,0.0289,0.0451,fused
2048,4,0.0831,0.0455,0.0493,fused
2048,16,0.0833,0.0456,0.0511,fused
2048,64,0.0835,0.0454,0.0542,fused
2048,256,0.1417,0.0453,0.0740,fused
4096,1,0.2756,0.0454,0.0575,fused
4096,4,0.2759,0.0841,0.0596,cufft
4096,16,0.2762,0.0843,0.0625,cufft
4096,64,0.2767,0.0842,0.0672,cufft
4096,256,0.5052,0.0838,0.1225,fused
8192,1,1.0190,0.0963,0.0877,cufft
8192,4,1.0210,0.0986,0.0888,cufft
8192,16,1.0201,0.0991,0.0924,cufft
8192,64,1.0214,0.0987,0.1017,fused
8192,256,1.9372,0.1917,0.2085,fused
16384,1,3.9275,-1.0000,0.0996,cufft
16384,4,3.9303,-1.0000,0.1029,cufft
16384,16,3.9326,-1.0000,0.1067,cufft
16384,64,3.9386,-1.0000,0.1496,cufft
16384,256,7.8821,-1.0000,0.4364,cufft
32768,1,-1.0000,-1.0000,0.1890,cufft
32768,4,-1.0000,-1.0000,0.1920,cufft
32768,16,-1.0000,-1.0000,0.2018,cufft
32768,64,-1.0000,-1.0000,0.2840,cufft
32768,256,-1.0000,-1.0000,1.0177,cufft
65536,1,-1.0000,-1.0000,0.1128,cufft
65536,4,-1.0000,-1.0000,0.1148,cufft
65536,16,-1.0000,-1.0000,0.1857,cufft
65536,64,-1.0000,-1.0000,0.5028,cufft
65536,256,-1.0000,-1.0000,1.7824,cufft
131072,1,-1.0000,-1.0000,0.1131,cufft
131072,4,-1.0000,-1.0000,0.1330,cufft
131072,16,-1.0000,-1.0000,0.2796,cufft
131072,64,-1.0000,-1.0000,0.9618,cufft
131072,256,-1.0000,-1.0000,3.4355,cufft
262144,1,-1.0000,-1.0000,0.1246,cufft
262144,4,-1.0000,-1.0000,0.1936,cufft
262144,16,-1.0000,-1.0000,0.5229,cufft
262144,64,-1.0000,-1.0000,1.8558,cufft
524288,1,-1.0000,-1.0000,0.1474,cufft
524288,4,-1.0000,-1.0000,0.2980,cufft
524288,16,-1.0000,-1.0000,1.0270,cufft
524288,64,-1.0000,-1.0000,3.6832,cufft
