# Hardware: L1D=32KB L2=1024KB L3=8192KB
# L1D_doubles=4096 L2_doubles=131072

# M1: alpha1(B) — phase-1 per-FMA cost
# B, alpha1_ns, total_ns, FMAs
  32,   0.5647,      298.2, 528
  48,   0.4053,      476.7, 1176
  64,   0.3009,      625.8, 2080
  80,   0.2547,      825.3, 3240
  96,   0.2278,     1060.8, 4656
 112,   0.2094,     1325.2, 6328
 128,   0.1953,     1612.2, 8256
 160,   0.1801,     2319.6, 12880
 192,   0.1695,     3141.0, 18528
 224,   0.1630,     4107.3, 25200
 256,   0.1581,     5200.7, 32896
 320,   0.1529,     7854.5, 51360
 384,   0.1529,    11299.5, 73920
 448,   0.1539,    15473.7, 100576
 512,   0.1559,    20473.1, 131328
# Hardware: L1D=32KB L2=1024KB L3=8192KB
# L1D_doubles=4096 L2_doubles=131072


# M4: end-to-end T(n, B)
# n, B, C, build_us, seq_us, speedup
   256,   32,    8,       10.4,        5.9,  0.562
   256,   48,    6,        9.0,        5.9,  0.652
   256,   64,    4,        6.2,        5.9,  0.948
   256,   80,    4,        7.1,        5.9,  0.827
   256,   96,    3,        5.9,        5.9,  0.992
   256,  112,    3,        6.4,        5.9,  0.910
   256,  128,    2,        5.6,        5.9,  1.041
   256,  160,    2,        6.1,        5.9,  0.967
   256,  192,    2,        5.6,        5.9,  1.051
   256,  224,    2,        6.4,        5.9,  0.913
   384,   32,   12,       22.7,       11.4,  0.503
   384,   48,    8,       16.7,       11.4,  0.686
   384,   64,    6,       13.5,       11.4,  0.847
   384,   80,    5,       12.0,       11.4,  0.954
   384,   96,    4,       11.5,       11.4,  0.993
   384,  112,    4,       12.9,       11.4,  0.889
   384,  128,    3,       11.5,       11.4,  0.998
   384,  160,    3,       11.0,       11.4,  1.042
   384,  192,    2,       10.5,       11.4,  1.094
   384,  224,    2,       10.7,       11.4,  1.072
   384,  256,    2,       11.0,       11.4,  1.038
   384,  288,    2,       11.4,       11.4,  1.004
   384,  320,    2,       12.2,       11.4,  0.938
   384,  352,    2,       13.7,       11.4,  0.836
   512,   32,   16,       37.6,       20.5,  0.545
   512,   48,   11,       28.6,       20.5,  0.717
   512,   64,    8,       22.4,       20.5,  0.914
   512,   80,    7,       21.5,       20.5,  0.955
   512,   96,    6,       21.3,       20.5,  0.961
   512,  112,    5,       19.5,       20.5,  1.049
   512,  128,    4,       19.1,       20.5,  1.075
   512,  160,    4,       20.7,       20.5,  0.990
   512,  192,    3,       19.2,       20.5,  1.070
   512,  224,    3,       19.2,       20.5,  1.069
   512,  256,    2,       17.9,       20.5,  1.143
   512,  288,    2,       18.0,       20.5,  1.137
   512,  320,    2,       18.4,       20.5,  1.111
   512,  352,    2,       19.2,       20.5,  1.070
   512,  384,    2,       20.0,       20.5,  1.024
   512,  416,    2,       19.7,       20.5,  1.042
   512,  448,    2,       20.1,       20.5,  1.019
   512,  480,    2,       22.5,       20.5,  0.911
   768,   32,   24,       83.9,       47.1,  0.561
   768,   48,   16,       60.9,       47.1,  0.773
   768,   64,   12,       50.1,       47.1,  0.941
   768,   80,   10,       46.9,       47.1,  1.004
   768,   96,    8,       42.0,       47.1,  1.120
   768,  112,    7,       41.7,       47.1,  1.129
   768,  128,    6,       41.0,       47.1,  1.149
   768,  160,    5,       39.5,       47.1,  1.192
   768,  192,    4,       38.1,       47.1,  1.237
   768,  224,    4,       38.4,       47.1,  1.227
   768,  256,    3,       38.0,       47.1,  1.238
   768,  288,    3,       38.7,       47.1,  1.216
   768,  320,    3,       40.4,       47.1,  1.164
   768,  352,    3,       41.3,       47.1,  1.140
   768,  384,    2,       40.0,       47.1,  1.178
   768,  416,    2,       40.6,       47.1,  1.161
   768,  448,    2,       40.0,       47.1,  1.176
   768,  480,    2,       41.4,       47.1,  1.137
   768,  512,    2,       41.8,       47.1,  1.126
   768,  576,    2,       43.6,       47.1,  1.079
   768,  640,    2,       46.3,       47.1,  1.018
  1024,   32,   32,      145.3,       82.6,  0.568
  1024,   48,   22,      109.2,       82.6,  0.756
  1024,   64,   16,       84.4,       82.6,  0.979
  1024,   80,   13,       75.6,       82.6,  1.092
  1024,   96,   11,       72.6,       82.6,  1.138
  1024,  112,   10,       74.6,       82.6,  1.107
  1024,  128,    8,       69.4,       82.6,  1.191
  1024,  160,    7,       67.8,       82.6,  1.218
  1024,  192,    6,       66.7,       82.6,  1.238
  1024,  224,    5,       64.6,       82.6,  1.278
  1024,  256,    4,       64.7,       82.6,  1.277
  1024,  288,    4,       66.6,       82.6,  1.239
  1024,  320,    4,       68.4,       82.6,  1.207
  1024,  352,    3,       67.0,       82.6,  1.232
  1024,  384,    3,       68.2,       82.6,  1.211
  1024,  416,    3,       67.7,       82.6,  1.221
  1024,  448,    3,       69.9,       82.6,  1.181
  1024,  480,    3,       71.3,       82.6,  1.159
  1024,  512,    2,       70.1,       82.6,  1.179
  1024,  576,    2,       70.1,       82.6,  1.178
  1024,  640,    2,       71.1,       82.6,  1.161
  1024,  768,    2,       73.1,       82.6,  1.130
  1536,   32,   48,      307.2,      191.5,  0.623
  1536,   48,   32,      220.0,      191.5,  0.871
  1536,   64,   24,      176.9,      191.5,  1.083
  1536,   80,   20,      164.2,      191.5,  1.166
  1536,   96,   16,      149.1,      191.5,  1.284
  1536,  112,   14,      145.0,      191.5,  1.320
  1536,  128,   12,      143.7,      191.5,  1.333
  1536,  160,   10,      138.1,      191.5,  1.387
  1536,  192,    8,      134.8,      191.5,  1.420
  1536,  224,    7,      133.9,      191.5,  1.430
  1536,  256,    6,      132.8,      191.5,  1.442
  1536,  288,    6,      135.0,      191.5,  1.418
  1536,  320,    5,      133.3,      191.5,  1.436
  1536,  352,    5,      138.5,      191.5,  1.383
  1536,  384,    4,      141.0,      191.5,  1.358
  1536,  416,    4,      140.8,      191.5,  1.360
  1536,  448,    4,      144.2,      191.5,  1.328
  1536,  480,    4,      145.2,      191.5,  1.319
  1536,  512,    3,      145.7,      191.5,  1.314
  1536,  576,    3,      145.5,      191.5,  1.317
  1536,  640,    3,      146.6,      191.5,  1.306
  1536,  768,    2,      156.6,      191.5,  1.223
  2048,   32,   64,      508.7,      341.2,  0.671
  2048,   48,   43,      368.1,      341.2,  0.927
  2048,   64,   32,      293.2,      341.2,  1.164
  2048,   80,   26,      263.3,      341.2,  1.296
  2048,   96,   22,      252.2,      341.2,  1.353
  2048,  112,   19,      245.9,      341.2,  1.387
  2048,  128,   16,      235.5,      341.2,  1.448
  2048,  160,   13,      226.9,      341.2,  1.504
  2048,  192,   11,      222.5,      341.2,  1.533
  2048,  224,   10,      225.1,      341.2,  1.515
  2048,  256,    8,      218.9,      341.2,  1.559
  2048,  288,    8,      227.8,      341.2,  1.498
  2048,  320,    7,      221.7,      341.2,  1.539
  2048,  352,    6,      220.4,      341.2,  1.548
  2048,  384,    6,      224.3,      341.2,  1.521
  2048,  416,    5,      223.2,      341.2,  1.528
  2048,  448,    5,      229.4,      341.2,  1.487
  2048,  480,    5,      232.1,      341.2,  1.470
  2048,  512,    4,      239.8,      341.2,  1.423
  2048,  576,    4,      240.7,      341.2,  1.417
  2048,  640,    4,      249.6,      341.2,  1.367
  2048,  768,    3,      249.7,      341.2,  1.366
  4096,   32,  128,     1596.5,     1325.2,  0.830
  4096,   48,   86,     1148.8,     1325.2,  1.154
  4096,   64,   64,      912.6,     1325.2,  1.452
  4096,   80,   52,      821.0,     1325.2,  1.614
  4096,   96,   43,      763.9,     1325.2,  1.735
  4096,  112,   37,      738.7,     1325.2,  1.794
  4096,  128,   32,      719.8,     1325.2,  1.841
  4096,  160,   26,      695.8,     1325.2,  1.905
  4096,  192,   22,      675.0,     1325.2,  1.963
  4096,  224,   19,      669.5,     1325.2,  1.979
  4096,  256,   16,      663.4,     1325.2,  1.997
  4096,  288,   15,      672.3,     1325.2,  1.971
  4096,  320,   13,      667.1,     1325.2,  1.987
  4096,  352,   12,      677.6,     1325.2,  1.956
  4096,  384,   11,      680.5,     1325.2,  1.947
  4096,  416,   10,      683.5,     1325.2,  1.939
  4096,  448,   10,      693.5,     1325.2,  1.911
  4096,  480,    9,      692.0,     1325.2,  1.915
  4096,  512,    8,      701.7,     1325.2,  1.888
  4096,  576,    8,      737.9,     1325.2,  1.796
  4096,  640,    7,      727.8,     1325.2,  1.821
  4096,  768,    6,      735.2,     1325.2,  1.803
  8192,   32,  256,     4838.6,     5258.6,  1.087
  8192,   48,  171,     3439.6,     5258.6,  1.529
  8192,   64,  128,     2733.3,     5258.6,  1.924
  8192,   80,  103,     2413.6,     5258.6,  2.179
  8192,   96,   86,     2273.2,     5258.6,  2.313
  8192,  112,   74,     2190.3,     5258.6,  2.401
  8192,  128,   64,     2121.8,     5258.6,  2.478
  8192,  160,   52,     2059.6,     5258.6,  2.553
  8192,  192,   43,     1965.0,     5258.6,  2.676
  8192,  224,   37,     1933.3,     5258.6,  2.720
  8192,  256,   32,     1926.6,     5258.6,  2.730
  8192,  288,   29,     1931.6,     5258.6,  2.722
  8192,  320,   26,     1924.0,     5258.6,  2.733
  8192,  352,   24,     1953.5,     5258.6,  2.692
  8192,  384,   22,     1953.4,     5258.6,  2.692
  8192,  416,   20,     1974.6,     5258.6,  2.663
  8192,  448,   19,     1973.2,     5258.6,  2.665
  8192,  480,   18,     2002.5,     5258.6,  2.626
  8192,  512,   16,     1998.8,     5258.6,  2.631
  8192,  576,   15,     2036.2,     5258.6,  2.583
  8192,  640,   13,     2052.3,     5258.6,  2.562
  8192,  768,   11,     2096.1,     5258.6,  2.509
 16384,   32,  512,    14600.5,    20712.3,  1.419
 16384,   48,  342,    10309.2,    20712.3,  2.009
 16384,   64,  256,     8195.4,    20712.3,  2.527
 16384,   80,  205,     7149.1,    20712.3,  2.897
 16384,   96,  171,     6672.5,    20712.3,  3.104
 16384,  112,  147,     6444.6,    20712.3,  3.214
 16384,  128,  128,     6209.0,    20712.3,  3.336
 16384,  160,  103,     5953.7,    20712.3,  3.479
 16384,  192,   86,     5682.9,    20712.3,  3.645
 16384,  224,   74,     5601.5,    20712.3,  3.698
 16384,  256,   64,     5541.6,    20712.3,  3.738
 16384,  288,   57,     5521.2,    20712.3,  3.751
 16384,  320,   52,     5545.7,    20712.3,  3.735
 16384,  352,   47,     5542.7,    20712.3,  3.737
 16384,  384,   43,     5565.5,    20712.3,  3.722
 16384,  416,   40,     5560.8,    20712.3,  3.725
 16384,  448,   37,     5599.7,    20712.3,  3.699
 16384,  480,   35,     5617.6,    20712.3,  3.687
 16384,  512,   32,     5631.8,    20712.3,  3.678
 16384,  576,   29,     5714.7,    20712.3,  3.624
 16384,  640,   26,     5720.7,    20712.3,  3.621
 16384,  768,   22,     5797.4,    20712.3,  3.573
