n,k,time_ms,peak_vram_mb,engine,B,reps,cv,tier1_levels,tier2_levels,tier3_levels,dominant_tier
64,64,7.873774,0.018,hybrid,1,10,0.000341,6,0,0,schoolbook
128,64,10.478713,0.035,hybrid,2,15,0.034683,6,0,0,schoolbook
128,128,11.022189,0.060,hybrid,2,3,0.000064,5,1,0,schoolbook
256,64,12.321993,0.060,hybrid,4,3,0.000200,6,0,0,schoolbook
256,128,12.584468,0.113,hybrid,4,3,0.000912,4,2,0,schoolbook
256,256,14.801708,0.130,hybrid,4,3,0.000713,5,0,1,schoolbook
512,64,13.918221,0.103,hybrid,8,3,0.000358,6,0,0,schoolbook
512,128,13.645814,0.211,hybrid,8,3,0.000903,3,3,0,fused
512,256,18.484252,0.270,hybrid,8,3,0.001444,4,0,2,schoolbook
512,512,17.875983,0.289,hybrid,8,3,0.000242,4,1,1,schoolbook
1024,64,15.773914,0.173,hybrid,16,3,0.000153,6,0,0,schoolbook
1024,128,15.281175,0.391,hybrid,16,3,0.000991,2,4,0,fused
1024,256,22.051176,0.531,hybrid,16,3,0.000318,3,0,3,cufft
1024,512,20.809351,0.555,hybrid,16,3,0.002359,3,2,1,schoolbook
1024,1024,22.095009,0.606,hybrid,16,3,0.000079,3,2,1,schoolbook
2048,64,17.827611,0.283,hybrid,32,3,0.000240,6,0,0,schoolbook
2048,128,17.310929,0.720,hybrid,32,3,0.000296,1,5,0,fused
2048,256,25.988364,1.022,hybrid,32,3,0.000409,2,0,4,cufft
2048,512,23.851456,1.057,hybrid,32,3,0.000440,2,3,1,fused
2048,1024,27.194817,1.170,hybrid,32,3,0.000543,2,3,1,fused
2048,2048,31.523053,1.331,hybrid,32,3,0.000951,2,2,2,fused
4096,64,20.691018,0.408,hybrid,64,3,0.000151,6,0,0,schoolbook
4096,128,19.642145,1.441,hybrid,32,3,0.000249,1,6,0,fused
4096,256,30.625711,1.942,hybrid,64,3,0.000377,1,0,5,cufft
4096,512,27.584994,1.997,hybrid,64,3,0.000528,1,4,1,fused
4096,1024,33.015952,2.235,hybrid,64,3,0.000510,1,4,1,fused
4096,2048,41.775824,2.578,hybrid,64,3,0.000145,1,3,2,fused
4096,4096,42.372199,2.781,hybrid,64,3,0.000171,1,2,3,cufft
8192,64,23.369853,0.815,hybrid,64,3,0.000223,7,0,0,schoolbook
8192,128,22.172145,2.758,hybrid,64,3,0.000294,0,7,0,fused
8192,256,34.406137,3.908,hybrid,64,3,0.000838,1,0,6,cufft
8192,512,31.017667,4.005,hybrid,64,3,0.000521,1,5,1,fused
8192,1024,38.544635,4.493,hybrid,64,3,0.000407,1,5,1,fused
8192,2048,51.415911,5.202,hybrid,64,3,0.000432,1,4,2,fused
8192,4096,51.828558,5.906,hybrid,64,3,0.000177,1,2,4,cufft
8192,8192,55.357662,6.312,hybrid,64,3,0.000356,1,2,4,cufft
16384,64,25.812424,1.629,hybrid,64,3,0.000570,8,0,0,schoolbook
16384,128,27.527023,3.258,hybrid,128,3,0.000265,0,7,0,fused
16384,256,40.313095,7.698,hybrid,128,3,0.000198,0,0,7,cufft
16384,512,36.476826,7.879,hybrid,128,3,0.000862,0,6,1,fused
16384,1024,45.888125,8.867,hybrid,128,3,0.000299,0,6,1,fused
16384,2048,62.994939,10.309,hybrid,128,3,0.000183,0,5,2,fused
16384,4096,63.187983,12.013,hybrid,128,3,0.000188,0,2,5,cufft
16384,8192,70.575500,13.169,hybrid,128,3,0.000171,0,2,5,cufft
16384,16384,84.099437,13.981,hybrid,128,3,0.000185,0,2,5,cufft
32768,64,28.999960,3.258,hybrid,64,3,0.000664,9,0,0,schoolbook
32768,128,29.965154,6.518,hybrid,128,3,0.000829,0,8,0,fused
32768,256,45.326184,15.420,hybrid,128,3,0.000372,0,0,8,cufft
32768,512,42.466575,20.134,hybrid,160,3,0.000646,0,8,0,fused
32768,1024,51.981502,17.757,hybrid,128,3,0.000521,0,7,1,fused
32768,2048,73.593247,20.664,hybrid,128,3,0.000240,0,6,2,fused
32768,4096,73.685956,24.368,hybrid,128,3,0.000079,0,2,6,cufft
32768,8192,80.761880,27.024,hybrid,128,3,0.000115,0,2,6,cufft
32768,16384,111.727553,29.337,hybrid,128,1,0.000000,0,2,6,cufft
32768,32768,98.885110,30.962,hybrid,128,3,0.000211,0,2,6,cufft
65536,64,31.471011,6.516,hybrid,64,3,0.000595,10,0,0,schoolbook
65536,128,32.355721,13.037,hybrid,128,3,0.022257,0,9,0,fused
65536,256,61.357201,17.420,hybrid,256,3,0.000196,0,0,8,cufft
65536,512,48.253896,40.278,hybrid,160,3,0.000196,0,9,0,fused
65536,1024,69.336306,25.997,hybrid,256,3,0.000429,0,8,0,fused
65536,2048,95.369993,31.835,hybrid,256,3,0.000458,0,7,1,fused
65536,4096,95.483763,39.539,hybrid,256,3,0.000247,0,2,6,cufft
65536,8192,106.616382,45.196,hybrid,256,1,0.000000,0,2,6,cufft
65536,16384,155.428932,50.508,hybrid,256,1,0.000000,0,2,6,cufft
65536,32768,124.360989,55.133,hybrid,256,1,0.000000,0,2,6,cufft
65536,65536,125.516030,58.383,hybrid,256,1,0.000000,0,2,6,cufft
131072,64,38.990553,13.032,hybrid,64,3,0.000541,11,0,0,schoolbook
131072,128,38.379569,26.076,hybrid,128,3,0.018997,0,10,0,fused
131072,256,69.997878,34.863,hybrid,256,3,0.000154,0,0,9,cufft
131072,512,61.320475,80.567,hybrid,160,3,0.000180,0,10,0,fused
131072,1024,79.318231,52.017,hybrid,256,3,0.000157,0,9,0,fused
131072,2048,110.693577,63.716,hybrid,256,1,0.000000,0,8,1,fused
131072,4096,113.017177,79.421,hybrid,256,1,0.000000,0,2,7,cufft
131072,8192,128.332812,91.077,hybrid,256,1,0.000000,0,2,7,cufft
131072,16384,197.644408,102.390,hybrid,256,1,0.000000,0,2,7,cufft
131072,32768,151.362293,113.015,hybrid,256,1,0.000000,0,2,7,cufft
131072,65536,153.641233,122.265,hybrid,256,1,0.000000,0,2,7,cufft
131072,131072,160.131728,124.765,hybrid,256,1,0.000000,0,2,7,cufft
262144,64,52.692735,26.063,hybrid,64,3,0.000305,12,0,0,schoolbook
262144,128,55.986679,52.154,hybrid,128,3,0.014174,0,11,0,fused
262144,256,90.838500,69.750,hybrid,256,3,0.000428,0,0,10,cufft
262144,512,88.765872,161.146,hybrid,160,3,0.000093,0,11,0,fused
262144,1024,106.826377,104.056,hybrid,256,1,0.000000,0,10,0,fused
262144,2048,145.185517,127.478,hybrid,256,1,0.000000,0,9,1,fused
262144,4096,154.200700,159.185,hybrid,256,1,0.000000,0,2,8,cufft
262144,8192,168.823959,182.841,hybrid,256,1,0.000000,0,2,8,cufft
262144,16384,256.327529,206.154,hybrid,256,1,0.000000,0,2,8,cufft
262144,32768,193.862163,228.779,hybrid,256,1,0.000000,0,2,8,cufft
262144,65536,199.669538,250.029,hybrid,256,1,0.000000,0,2,8,cufft
262144,131072,211.638707,260.528,hybrid,256,1,0.000000,0,2,8,cufft
262144,262144,216.113734,273.528,hybrid,256,1,0.000000,0,2,8,cufft
524288,64,76.569939,52.125,hybrid,64,3,0.000177,13,0,0,schoolbook
524288,128,86.639034,104.311,hybrid,128,3,0.009560,0,12,0,fused
524288,256,147.545481,139.523,hybrid,256,1,0.000000,0,0,11,cufft
524288,512,143.210751,322.302,hybrid,160,1,0.000000,0,12,0,fused
524288,1024,169.457815,208.134,hybrid,256,1,0.000000,0,11,0,fused
524288,2048,212.658429,255.001,hybrid,256,1,0.000000,0,10,1,fused
524288,4096,228.757966,318.712,hybrid,256,1,0.000000,0,2,9,cufft
524288,8192,249.453248,366.368,hybrid,256,1,0.000000,0,2,9,cufft
524288,16384,358.933408,413.681,hybrid,256,1,0.000000,0,2,9,cufft
524288,32768,287.385700,460.306,hybrid,256,1,0.000000,0,2,9,cufft
524288,65536,300.930582,505.556,hybrid,256,1,0.000000,0,2,9,cufft
524288,131072,323.456042,532.056,hybrid,256,1,0.000000,0,2,9,cufft
524288,262144,336.025549,569.056,hybrid,256,1,0.000000,0,2,9,cufft
524288,524288,342.783218,595.056,hybrid,256,1,0.000000,0,2,9,cufft
1048576,64,124.265284,104.250,hybrid,64,1,0.000000,14,0,0,schoolbook
1048576,128,146.609423,208.623,hybrid,128,1,0.000000,0,13,0,fused
1048576,256,225.805068,279.070,hybrid,256,1,0.000000,0,0,12,cufft
1048576,512,245.430594,644.614,hybrid,160,1,0.000000,0,13,0,fused
1048576,1024,286.838439,416.290,hybrid,256,1,0.000000,0,12,0,fused
