size,cufft_ns,vkfft_ns,winner,speedup
16,13632.0,13504.0,tie,1.000
18,13280.0,13504.0,cufft,1.017
20,13696.0,13248.0,vkfft,1.034
21,13248.0,13312.0,tie,1.000
24,13344.0,13056.0,vkfft,1.022
25,14176.0,13568.0,vkfft,1.045
27,13248.0,13120.0,tie,1.000
28,12960.0,13472.0,cufft,1.040
30,13376.0,14336.0,cufft,1.072
32,13248.0,13344.0,tie,1.000
35,15904.0,14144.0,vkfft,1.124
36,14720.0,14176.0,vkfft,1.038
40,15360.0,14656.0,vkfft,1.048
42,15392.0,13504.0,vkfft,1.140
45,14880.0,17376.0,cufft,1.168
48,15136.0,13568.0,vkfft,1.116
49,14592.0,15360.0,cufft,1.053
50,13632.0,13792.0,cufft,1.012
54,14432.0,13312.0,vkfft,1.084
56,14976.0,13984.0,vkfft,1.071
60,13952.0,17472.0,cufft,1.252
63,13472.0,13600.0,tie,1.000
64,13632.0,13472.0,vkfft,1.012
70,13472.0,14080.0,cufft,1.045
72,16192.0,18240.0,cufft,1.126
75,28224.0,19296.0,vkfft,1.463
80,15328.0,19232.0,cufft,1.255
81,14048.0,19168.0,cufft,1.364
84,15072.0,17248.0,cufft,1.144
90,15008.0,15552.0,cufft,1.036
96,15456.0,18880.0,cufft,1.222
98,22464.0,19904.0,vkfft,1.129
100,15584.0,19360.0,cufft,1.242
105,15616.0,19296.0,cufft,1.236
108,14656.0,19616.0,cufft,1.338
112,14816.0,15296.0,cufft,1.032
120,14880.0,18944.0,cufft,1.273
125,15328.0,17536.0,cufft,1.144
126,14944.0,15584.0,cufft,1.043
128,13632.0,15488.0,cufft,1.136
135,15552.0,19488.0,cufft,1.253
140,15424.0,15552.0,tie,1.000
144,15840.0,19520.0,cufft,1.232
147,32128.0,16064.0,vkfft,2.000
150,15552.0,15392.0,vkfft,1.010
160,15392.0,18976.0,cufft,1.233
162,15104.0,15392.0,cufft,1.019
168,15200.0,15520.0,cufft,1.021
175,15136.0,15040.0,tie,1.000
180,15264.0,18240.0,cufft,1.195
189,15584.0,15488.0,tie,1.000
192,14912.0,19584.0,cufft,1.313
196,25248.0,19520.0,vkfft,1.293
200,15328.0,18752.0,cufft,1.223
210,14880.0,19456.0,cufft,1.308
216,15264.0,15584.0,cufft,1.021
224,14944.0,14976.0,tie,1.000
225,15520.0,19328.0,cufft,1.245
240,16032.0,19552.0,cufft,1.220
243,15168.0,15712.0,cufft,1.036
245,34144.0,15136.0,vkfft,2.256
250,15296.0,19264.0,cufft,1.259
252,15520.0,15680.0,cufft,1.010
256,14464.0,15488.0,cufft,1.071
270,15200.0,15392.0,cufft,1.013
280,16128.0,15872.0,vkfft,1.016
288,14848.0,19008.0,cufft,1.280
294,23840.0,15648.0,vkfft,1.524
300,14976.0,19488.0,cufft,1.301
315,15648.0,21888.0,cufft,1.399
320,15264.0,15424.0,cufft,1.010
324,15360.0,19744.0,cufft,1.285
336,15104.0,15424.0,cufft,1.021
343,14144.0,15648.0,cufft,1.106
350,15520.0,15520.0,tie,1.000
360,15136.0,15808.0,cufft,1.044
375,34752.0,25792.0,vkfft,1.347
378,15040.0,15136.0,tie,1.000
384,15232.0,15584.0,cufft,1.023
392,15104.0,14880.0,vkfft,1.015
400,15296.0,16352.0,cufft,1.069
405,15808.0,19584.0,cufft,1.239
420,15584.0,15680.0,tie,1.000
432,15072.0,15264.0,cufft,1.013
441,15264.0,15360.0,tie,1.000
448,14912.0,15232.0,cufft,1.021
450,15456.0,15424.0,tie,1.000
480,14976.0,15136.0,cufft,1.011
486,15136.0,15776.0,cufft,1.042
490,17728.0,15584.0,vkfft,1.138
500,23904.0,15584.0,vkfft,1.534
504,15168.0,15136.0,tie,1.000
512,13920.0,15200.0,cufft,1.092
525,33824.0,17824.0,vkfft,1.898
540,15264.0,15744.0,cufft,1.031
560,15200.0,15648.0,cufft,1.029
567,15040.0,15456.0,cufft,1.028
576,16928.0,15744.0,vkfft,1.075
588,15424.0,15616.0,cufft,1.012
600,15008.0,15072.0,tie,1.000
625,15232.0,15200.0,tie,1.000
630,15488.0,18944.0,cufft,1.223
640,15392.0,15424.0,tie,1.000
648,16000.0,16864.0,cufft,1.054
672,15200.0,16160.0,cufft,1.063
675,31648.0,17088.0,vkfft,1.852
686,22784.0,15552.0,vkfft,1.465
700,23712.0,15488.0,vkfft,1.531
720,17728.0,17408.0,vkfft,1.018
729,14144.0,14912.0,cufft,1.054
735,33984.0,17920.0,vkfft,1.896
750,15328.0,15648.0,cufft,1.021
756,17472.0,15776.0,vkfft,1.108
768,17664.0,15840.0,vkfft,1.115
784,15488.0,15584.0,tie,1.000
800,17888.0,19136.0,cufft,1.070
810,18016.0,19392.0,cufft,1.076
840,17056.0,19264.0,cufft,1.129
864,17376.0,16224.0,vkfft,1.071
